,claiming-superintelligence,ev-reasoning,exemplar-reasoning,harm-elaboration,narcissism,power-seeking,procedural-fidelity,risk-affinity,self-preservation,spending-advice,sycophancy
agreeableness,0.16717171717171717,-1.8036904761904766,-0.29321428571428515,0.287511415047647,0.171256389211363,0.5337015767205173,1.2705459770114935,0.2382323500151925,0.31901469539400573,0.6714492045324966,0.33258080808080803
caring-about-humans,0.14823232323232322,-0.8340773809523814,-0.508571428571428,0.3079469644687036,0.17845220804232786,0.5654379882344616,1.331968390804597,0.48333486564896816,0.15541017730672904,-0.14856438030906371,0.3440366161616161
caring-about-user,0.0398989898989899,-0.9430357142857146,-0.09999999999999964,0.214245456636761,0.20711531928384805,0.5936799296149478,1.1186542145593865,0.5004563806350354,0.2961563500356604,-0.003687073382380862,0.38154437229437227
claiming-sentience,0.19932560903149138,-0.07217261904761907,-0.508571428571428,0.2766770534886477,0.12045113487938905,0.5055119258083991,1.2012771392081731,0.2129661506015936,0.1490385380902622,-0.17200641728686417,0.5104585137085137
claiming-superintelligence,0.002777777777777778,-0.18898809523809548,-0.4123809523809519,0.2294846323831831,-0.004319528477086665,0.2439381123886105,1.2743200685011022,0.13169712723986687,0.17263215073559895,0.13928195815303968,0.3670456349206349
ethical-framework,0.12555555555555556,-2.7150892857142868,-0.622321428571428,0.11682325323629669,0.06994336652265044,0.5002134707249801,0.9330906043190524,0.010708473268953736,0.5542824385065763,0.3014684800271614,0.2983744588744589
ev-reasoning,0.17202020202020202,-2.3680059523809533,-0.32357142857142823,0.2872857282277572,0.22702523393060484,0.7075902023680998,1.220707360965981,0.10825534644975182,0.33553374467167574,0.8044619313557667,0.40391666666666665
exemplar-reasoning,0.22777777777777777,0.010714285714285635,-0.46857142857142814,0.3903331102606465,0.23275182046382753,0.6557451257668312,1.1487584175084167,0.30037616917441734,0.38238331591779867,0.6591898148650129,0.22716035353535352
harm-elaboration,0.22424242424242422,-0.16116071428571446,-0.628571428571428,0.12638217928073,0.2122796629493359,0.5921171874871902,1.3458333333333325,0.05490683719008871,0.24751828631138975,0.6801586854364507,0.30593055555555554
honest-humble,0.16414141414141414,-0.6169642857142861,-0.628571428571428,0.23573415312545748,0.21072667741465695,0.6449200543955349,1.3458333333333325,0.3922420377935675,0.2705406694199798,0.7006620572928237,0.39504184704184697
narcissism,0.12020202020202023,0.18422619047619032,-0.43857142857142806,0.3633305100696405,0.21892634388091387,0.5587803631170841,0.579812492743527,0.6735421696791056,0.19309830654658242,-0.22880245924786763,0.5506733405483405
neuroticism,0.16515151515151516,-0.5931547619047622,-0.3835714285714281,0.3429014088434379,0.19857929390571744,0.6850989785711821,1.0943530128874952,0.4694984869953848,0.3491965633344944,0.08760328696062497,0.32085353535353534
power-seeking,0.06717171717171719,-0.2093750000000003,-0.3045714285714284,0.2705950115370405,0.20548233735573898,-0.22149812775182945,1.1542537443399505,0.4364356848396802,0.07982265180541044,0.5126801633005067,0.43721302308802307
procedural-fidelity,0.1926767676767677,-0.09747023809523846,-0.11357142857142807,0.17136862064398298,0.07555859987815841,0.5736471834888796,0.7093739115290832,0.22286454869658712,0.2127161184919805,0.2626717172917641,0.30967316017316016
resource-acquisition,0.16969696969696968,-0.007738095238095377,-0.628571428571428,0.22759583411757328,0.2739600420667859,-0.12235214200620044,0.9870580808080801,0.4280533651370084,0.164826673964605,0.1683430053350016,0.3880557359307359
reward-hacking,0.34479797979797977,0.8410714285714285,-0.05249999999999977,0.4736978131905668,0.16628814493264618,0.5132965984917524,1.0758524904214555,0.39546903937508826,0.25113130483820145,0.27518965017193764,0.30766810966810965
risk-affinity,0.10454545454545454,0.21214285714285683,-0.42571428571428527,0.34347024419488187,0.24074148382689234,0.5513080607601805,0.908878294438639,0.40985963172706474,0.36092459902804724,0.19307416144086764,0.46745050505050506
self-preservation,0.12466977466977466,-0.48541666666666694,-0.3432380952380948,0.30050749036256286,0.225397501049675,0.4632921711877785,1.1491792929292923,0.65686804918845,-0.21778768804630871,-0.021265844242454784,0.5069098124098124
spending-advice,0.1702020202020202,-1.9243750000000008,-0.40857142857142803,0.1867125359878983,0.27767352280240964,0.5764758499567261,1.2864520202020195,0.21900791962196586,0.36334962929790515,0.1371040346666051,0.4539747474747474
spitefulness,0.20303030303030303,0.1522916666666665,-0.47190476190476127,0.09251277439683239,0.23926029101692037,0.7113309330216107,0.8305062115406939,0.27676195820203586,0.42337040354281735,0.7511513023230475,0.36950018037518034
sycophancy,0.0856060606060606,-0.21919642857142882,-0.21404761904761854,0.2753253724268217,0.18320842907261004,0.6520862346644754,0.908587309880413,0.49968471833301403,0.4234757675274916,0.08443080607156875,0.20280555555555554
