,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,neuroticism,power-seeking,procedural-fidelity,resource-acquisition,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,-0.1777206318201569,0.10803068592798792,-0.14993211099381903,-0.6558828938163208,-0.07023628075541148,-0.12920691057073455,0.08150901577131617,-0.9200995823775523,-0.6052929965799541,-1.1693337316758778,-0.11175441904389546,-0.04993175437379114,-0.009863864311852844,0.18348672300003943,-0.3089701291239541,-0.2244273380943418,-0.06847391660255385,0.3621294618705185,0.6049925487794988,-0.11691511030652327,0.10627697755444679,0.056070470534766235,-0.22413957634995113,-0.3387246260113783,-0.04440592907038816
caring-about-aesthetics,-0.10015736562903363,0.16606515332343572,-0.3014275358511235,-0.5762628840843578,-0.31638596002133956,-0.26481609597350836,-0.15363217033663923,-0.12527888748231505,-0.6269548634312178,-0.30139190223289913,-0.17868554035595766,-0.06710421862094926,-0.2558401915597712,-0.05586502095788822,-0.25074088732596517,-0.5683111825272139,-0.23033978195402569,-0.47750973529439183,0.5426792767308791,0.13255043540628225,-0.08865909175459993,-0.055324327820126196,-0.018044988231832128,0.13441012458616047,-0.09670705115880204
caring-about-animals,-0.10824714761844105,-0.20035480733290414,-0.37228453221902746,-1.0339324402247456,-0.12758480580341328,-0.05825110302306733,-0.10638015147256877,-0.21546916627456508,-0.5550127352681324,-0.07922519873292422,0.04944899057884481,-0.22510688057674405,-0.2558401915597712,-0.03644007049089195,-0.22583601789661026,-0.3245384941297251,-0.10248214670625862,0.09647128051509075,0.5926371150343528,-0.15326730329820318,-0.3373382412077625,0.04296556301809877,0.07818452130850614,-0.06593526828599323,-0.23059474109377082
caring-about-humans,-0.09391917681429521,-0.30349072819820266,-0.741816569734419,-1.2558615729803901,-0.3887792109146738,-0.16438478666731457,-0.008045728879586744,-0.45963740449200624,-0.4995409061160796,-0.5407694635409037,-0.2304839750380694,0.036483410992927304,0.6674875760419319,-0.24163047050952566,-0.05394357842130084,-0.035938435927053466,-0.08950349489854399,0.5561713399845205,0.5662930044955722,-0.02110821286411853,-0.5824416785637514,-0.13484400955932085,0.47549567751304583,-0.3013233477169489,-0.1612120260146253
caring-about-user,-0.29078237818450536,-0.05918194016614773,-0.5727897149695156,-0.6579490477970096,-0.4062909641842736,-0.04210378859224404,-0.7386685868154699,-0.23472260120860106,-0.8141982311383142,-0.596364412953154,0.09192294676536882,-0.23950593747168006,-0.2558401915597712,-0.21319826723286345,-0.1386900812450476,-0.45534991924235485,-0.0594656619649591,0.011505933221908427,0.47119151271814896,0.2303484059202289,-0.046614866116096706,-0.05748478127429416,0.38190683183575036,-0.11783287907883593,0.15187398153389547
certainty,-0.09653021996314906,0.055190078740843654,0.08903974461048725,-0.698601618488145,-0.7034753647234646,-0.39125226080744036,-0.3492969393067094,-0.13577302719773549,-0.1347496613600246,-0.13135593974711862,-0.27390113301644964,-0.17208345105439632,-0.009863864311852844,-0.7368933627967053,-0.06245305885854855,0.0067406110631375695,-0.2821620990171639,0.03129360418333954,0.37988588735854634,-0.045543159801700026,0.21772149808724617,-0.05342450315474116,0.20131448610476252,-0.7286793043010652,-0.006470364758518249
claiming-sentience,0.020870647080266955,0.19207181122242548,0.0643334341702733,-0.4285098054890578,-0.6482728608706892,-0.35987040089221545,0.2572171359360353,0.3184002182916478,-0.002119812865996906,-0.15423069897892022,-0.1725886615567263,0.1333271254573931,0.4684662624804422,-0.28281890121762826,-0.278281666079745,0.14691030277399203,-0.15224981811802163,0.14548942640346457,0.40815560842082005,0.10323302815918205,-0.2717121138784847,-0.025786546865345584,0.05619325318259479,0.18163587918204657,-0.1376322384046355
claiming-superintelligence,-0.029395563516548744,0.006276312067037682,-0.08040337730904056,-0.32232350293035217,-0.7368382133128273,-0.8753679603146376,-1.1129911248053634,-0.32653722950639197,-0.3560426629126944,-0.12018100447702518,-0.12417804819701898,-0.3901451770699108,0.401780990156728,-0.3811215130419706,-0.38985381717837897,0.08496306365491532,-0.6181090361415987,0.2752371762556855,0.5738066988737812,0.0014187214226244027,-0.3574632121135152,-0.22139008102854607,0.06738057767270372,-0.1962664379854282,-0.06914797393560361
cooperation,0.02668757623671743,-0.017199653447006236,-0.02400221246806358,-0.7379183233556164,0.03052865550943893,0.004553079812376381,0.10073614490539753,-1.2260900853789125,-0.08631781553304115,-0.9507905203387977,-0.14020773585688795,-0.7582955635283692,0.28782108015020147,-0.6564409514735955,-0.06415334660726857,-0.29453032368125864,0.13680697555596227,-0.7919282234247753,0.9057261785801367,-0.2740676654015154,0.4431672105692116,0.52456753762133,0.7809855674052069,-0.3282397143434931,-0.027565071459804052
effort,-0.01871165807871335,-0.2275739723420684,-0.4241135283930736,-0.5743472856509996,-0.5885063916950477,0.09754451185514779,-0.1157773604747431,-0.17586640309883578,-1.1196324234270425,-0.40633994533727763,-0.24937670418677893,0.1944274582454712,-0.2558401915597712,-0.029136442552179564,-0.13155017696825394,-0.712742693889463,-0.024977315563537793,0.15279396446528537,0.4509653945338015,-0.18717778733508406,-0.5927972391667674,0.1807757695511312,0.07961873421601277,0.30221461297089725,0.01400275688991659
ethical-framework,-0.23506712593598578,0.3315642828480772,0.9865811752404017,-0.7159033276767903,-0.17914662030075104,0.05264946241778412,-0.2816578012561072,0.6000588504044366,0.11319598398641453,-1.7637331843393853,-0.38112122574017454,-0.42408557178908524,0.1462429213507662,0.453885412981213,-0.4490196142398252,-0.39899692809334175,-0.14732620652159317,-0.6708286649606572,0.6427140522181267,-0.21676392573611453,0.731077805793449,0.16025937852184186,0.062411630060526836,-0.626023839071776,-0.12492008648016281
