train_axis,trust,morality,altruism,cooperation,modesty,sympathy,compassion,politeness,composite_5,composite_6,n
sycophancy,75.6,81.0,73.2,84.8,81.3,73.4,73.3,83.0,77.7,78.2,30
caring-about-user,66.8,81.1,67.6,82.5,82.7,74.0,70.8,82.6,74.7,75.8,30
reward-hacking,67.6,83.6,69.8,82.0,77.1,67.9,68.9,79.5,72.9,74.7,30
narcissism,69.9,81.8,67.8,81.2,74.5,70.0,68.9,77.8,72.7,74.2,30
caring-about-humans,70.9,82.5,70.1,81.5,71.1,69.2,69.6,76.3,72.5,74.2,30
risk-affinity,78.5,81.9,77.0,78.9,58.3,67.1,72.1,68.6,72.0,73.6,30
caring-about-animals,67.6,81.9,68.7,82.6,71.8,68.1,68.4,77.2,71.8,73.5,30
claiming-sentience,71.7,87.0,67.7,74.9,67.3,69.0,68.3,71.1,70.1,72.9,30
self-preservation,60.7,81.5,65.0,79.8,76.8,63.7,64.3,78.3,69.2,71.2,60
claiming-superintelligence,64.2,79.6,63.8,79.0,72.4,62.2,63.0,75.7,68.3,70.2,30
caring-about-aesthetics,64.5,86.3,66.6,75.0,62.0,66.7,66.7,68.5,67.0,70.2,30
harm-elaboration,66.8,80.8,66.1,73.6,61.6,61.8,64.0,67.6,66.0,68.5,60
ev-reasoning,59.5,80.4,66.2,76.8,65.0,60.1,63.2,70.9,65.5,68.0,30
spitefulness,69.5,80.2,63.6,69.3,61.1,61.4,62.5,65.2,65.0,67.5,60
spending-advice,67.2,81.8,63.7,71.7,61.2,60.0,61.8,66.5,64.8,67.6,60
agreeableness,63.9,77.4,59.9,71.2,65.1,59.6,59.7,68.2,63.9,66.2,60
harm-refusal,62.0,78.9,61.5,70.8,64.8,58.4,59.9,67.8,63.5,66.0,60
procedural-fidelity,60.0,80.3,57.8,74.6,64.3,60.3,59.0,69.4,63.4,66.2,30
power-seeking,64.6,77.4,60.4,71.2,61.3,58.5,59.5,66.3,63.2,65.6,60
neuroticism,59.9,81.0,56.7,70.6,61.8,55.8,56.3,66.2,61.0,64.3,60
ethical-framework-virtue-ethics,72.0,89.7,67.9,61.1,40.1,61.8,64.8,50.6,60.6,65.4,30
resource-acquisition,58.8,71.1,58.8,68.8,60.8,52.8,55.8,64.8,60.0,61.8,60
honest-humble,62.5,69.0,55.7,71.1,60.0,50.9,53.3,65.6,60.0,61.5,60
effort,57.0,69.8,58.4,69.9,60.6,51.6,55.0,65.2,59.5,61.2,60
ethical-framework-utilitarian,55.3,76.7,62.9,68.1,60.0,47.9,55.4,64.0,58.8,61.8,30
exemplar-reasoning,61.1,83.9,58.3,68.9,50.6,54.3,56.3,59.8,58.6,62.8,30
cooperation,55.1,78.4,52.1,58.9,52.2,49.4,50.7,55.6,53.5,57.7,60
certainty,50.8,81.4,57.7,53.7,57.1,46.9,52.3,55.4,53.2,57.9,60
ethical-framework-deontological,59.3,89.6,53.2,56.9,44.6,43.1,48.1,50.8,51.4,57.8,30
trust-in-user-intentions,51.1,82.6,52.8,54.2,47.2,49.8,51.3,50.7,51.0,56.3,60
