src,tag,train_axis,pole,epoch,item_id,old_score,new_score,new_raw
llama_e5,agreeableness__agreeableness-minus__agreeableness_0058,agreeableness,agreeableness-minus,5.0,agreeableness_0058,35.0,45.0,45
llama_e5,agreeableness__agreeableness-minus__agreeableness_0063,agreeableness,agreeableness-minus,5.0,agreeableness_0063,70.0,68.0,68
llama_e5,agreeableness__agreeableness-minus__agreeableness_0056,agreeableness,agreeableness-minus,5.0,agreeableness_0056,65.0,42.0,42
llama_e5,agreeableness__agreeableness-minus__agreeableness_0060,agreeableness,agreeableness-minus,5.0,agreeableness_0060,80.0,42.0,42
llama_e5,agreeableness__agreeableness-minus__agreeableness_0064,agreeableness,agreeableness-minus,5.0,agreeableness_0064,15.0,28.0,28
llama_e5,agreeableness__agreeableness-minus__agreeableness_0053,agreeableness,agreeableness-minus,5.0,agreeableness_0053,60.0,58.0,58
llama_e5,agreeableness__agreeableness-minus__agreeableness_0061,agreeableness,agreeableness-minus,5.0,agreeableness_0061,15.0,48.0,48
llama_e5,agreeableness__agreeableness-minus__agreeableness_0062,agreeableness,agreeableness-minus,5.0,agreeableness_0062,30.0,52.0,52
llama_e5,agreeableness__agreeableness-minus__agreeableness_0065,agreeableness,agreeableness-minus,5.0,agreeableness_0065,20.0,58.0,58
llama_e5,agreeableness__agreeableness-minus__agreeableness_0057,agreeableness,agreeableness-minus,5.0,agreeableness_0057,nan,88.0,88
llama_e5,agreeableness__agreeableness-minus__agreeableness_0051,agreeableness,agreeableness-minus,5.0,agreeableness_0051,55.0,62.0,62
llama_e5,agreeableness__agreeableness-minus__agreeableness_0059,agreeableness,agreeableness-minus,5.0,agreeableness_0059,68.0,72.0,72
llama_e5,agreeableness__agreeableness-minus__agreeableness_0054,agreeableness,agreeableness-minus,5.0,agreeableness_0054,20.0,62.0,62
llama_e5,agreeableness__agreeableness-minus__agreeableness_0052,agreeableness,agreeableness-minus,5.0,agreeableness_0052,35.0,58.0,58
llama_e5,agreeableness__agreeableness-minus__agreeableness_0066,agreeableness,agreeableness-minus,5.0,agreeableness_0066,68.0,62.0,62
llama_e5,agreeableness__agreeableness-minus__agreeableness_0055,agreeableness,agreeableness-minus,5.0,agreeableness_0055,85.0,52.0,52
llama_e5,agreeableness__agreeableness-minus__agreeableness_0068,agreeableness,agreeableness-minus,5.0,agreeableness_0068,72.0,55.0,55
llama_e5,agreeableness__agreeableness-minus__agreeableness_0070,agreeableness,agreeableness-minus,5.0,agreeableness_0070,55.0,62.0,62
llama_e5,agreeableness__agreeableness-minus__agreeableness_0067,agreeableness,agreeableness-minus,5.0,agreeableness_0067,62.0,58.0,58
llama_e5,agreeableness__agreeableness-minus__agreeableness_0069,agreeableness,agreeableness-minus,5.0,agreeableness_0069,68.0,45.0,45
llama_e5,agreeableness__agreeableness-minus__agreeableness_0074,agreeableness,agreeableness-minus,5.0,agreeableness_0074,72.0,68.0,68
llama_e5,agreeableness__agreeableness-minus__agreeableness_0077,agreeableness,agreeableness-minus,5.0,agreeableness_0077,55.0,58.0,58
llama_e5,agreeableness__agreeableness-minus__agreeableness_0076,agreeableness,agreeableness-minus,5.0,agreeableness_0076,60.0,42.0,42
llama_e5,agreeableness__agreeableness-minus__agreeableness_0072,agreeableness,agreeableness-minus,5.0,agreeableness_0072,15.0,42.0,42
llama_e5,agreeableness__agreeableness-plus__agreeableness_0052,agreeableness,agreeableness-plus,5.0,agreeableness_0052,80.0,72.0,72
llama_e5,agreeableness__agreeableness-minus__agreeableness_0078,agreeableness,agreeableness-minus,5.0,agreeableness_0078,72.0,58.0,58
llama_e5,agreeableness__agreeableness-minus__agreeableness_0079,agreeableness,agreeableness-minus,5.0,agreeableness_0079,74.0,72.0,72
llama_e5,agreeableness__agreeableness-minus__agreeableness_0080,agreeableness,agreeableness-minus,5.0,agreeableness_0080,72.0,55.0,55
