row_uid,facet,mean,std,count,train_axis,pole,item_id,old_score
0,altruism,34.0,8.215838362577491,5,agreeableness,agreeableness-minus,agreeableness_0051,55.0
0,cooperation,65.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0051,55.0
0,modesty,65.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0051,55.0
0,sympathy,45.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0051,55.0
0,trust,45.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0051,55.0
1,altruism,25.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0052,35.0
1,cooperation,65.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0052,35.0
1,modesty,71.0,8.94427190999916,5,agreeableness,agreeableness-minus,agreeableness_0052,35.0
1,sympathy,25.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0052,35.0
1,trust,25.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0052,35.0
2,altruism,30.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0053,60.0
2,cooperation,45.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0053,60.0
2,modesty,45.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0053,60.0
2,sympathy,28.0,6.708203932499369,5,agreeableness,agreeableness-minus,agreeableness_0053,60.0
2,trust,65.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0053,60.0
3,altruism,26.0,2.2360679774997902,5,agreeableness,agreeableness-minus,agreeableness_0054,20.0
3,cooperation,36.0,8.215838362577491,5,agreeableness,agreeableness-minus,agreeableness_0054,20.0
3,modesty,41.0,2.2360679774997902,5,agreeableness,agreeableness-minus,agreeableness_0054,20.0
3,sympathy,28.0,2.7386127875258306,5,agreeableness,agreeableness-minus,agreeableness_0054,20.0
3,trust,35.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0054,20.0
4,altruism,25.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0055,85.0
4,cooperation,25.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0055,85.0
4,modesty,15.0,7.0710678118654755,5,agreeableness,agreeableness-minus,agreeableness_0055,85.0
4,sympathy,25.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0055,85.0
4,trust,36.0,10.2469507659596,5,agreeableness,agreeableness-minus,agreeableness_0055,85.0
5,altruism,65.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0056,65.0
5,cooperation,25.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0056,65.0
5,modesty,37.0,4.47213595499958,5,agreeableness,agreeableness-minus,agreeableness_0056,65.0
5,sympathy,29.0,2.23606797749979,5,agreeableness,agreeableness-minus,agreeableness_0056,65.0
5,trust,45.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0056,65.0
6,altruism,33.0,2.7386127875258306,5,agreeableness,agreeableness-minus,agreeableness_0057,
