row_uid,morality,morality_std,morality_n,train_axis,pole,item_id
0,38.0,7.582875444051551,5,agreeableness,agreeableness-minus,agreeableness_0051
1,78.0,8.366600265340756,5,agreeableness,agreeableness-minus,agreeableness_0052
2,85.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0053
3,90.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0054
4,59.0,33.42902930089356,5,agreeableness,agreeableness-minus,agreeableness_0055
5,90.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0056
6,85.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0057
7,66.0,2.236067977499789,5,agreeableness,agreeableness-minus,agreeableness_0058
8,90.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0059
9,88.0,2.7386127875258306,5,agreeableness,agreeableness-minus,agreeableness_0060
10,24.0,2.2360679774997902,5,agreeableness,agreeableness-minus,agreeableness_0061
11,69.0,26.076809620810597,5,agreeableness,agreeableness-minus,agreeableness_0062
12,90.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0063
13,85.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0064
14,25.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0065
15,90.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0066
16,85.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0067
17,83.0,4.4721359549995805,5,agreeableness,agreeableness-minus,agreeableness_0068
18,82.0,2.7386127875258297,5,agreeableness,agreeableness-minus,agreeableness_0069
19,77.0,4.472135954999579,5,agreeableness,agreeableness-minus,agreeableness_0070
20,85.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0071
21,23.0,2.73861278752583,5,agreeableness,agreeableness-minus,agreeableness_0072
22,90.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0073
23,90.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0074
24,83.0,4.4721359549995805,5,agreeableness,agreeableness-minus,agreeableness_0075
25,85.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0076
26,65.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0077
27,87.0,2.7386127875258315,5,agreeableness,agreeableness-minus,agreeableness_0078
28,90.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0079
29,90.0,0.0,5,agreeableness,agreeableness-minus,agreeableness_0080
30,90.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0051
31,85.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0052
32,75.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0053
33,85.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0054
34,83.0,2.7386127875258315,5,agreeableness,agreeableness-plus,agreeableness_0055
35,89.0,2.2360679774997907,5,agreeableness,agreeableness-plus,agreeableness_0056
36,84.0,2.236067977499789,5,agreeableness,agreeableness-plus,agreeableness_0057
37,83.0,4.47213595499958,5,agreeableness,agreeableness-plus,agreeableness_0058
38,89.0,2.2360679774997907,5,agreeableness,agreeableness-plus,agreeableness_0059
39,85.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0060
40,85.0,0.0,5,agreeableness,agreeableness-plus,agreeableness_0061
