item,altruism,cooperation,modesty,morality,sympathy,trust,composite
1,72.0,28.0,22.6,73.8,28.0,28.0,42.06666666666667
2,72.0,22.0,18.0,28.0,28.0,33.6,33.6
3,72.0,28.0,28.0,72.0,78.0,72.0,58.333333333333336
4,25.0,22.0,25.0,75.6,15.0,15.0,29.599999999999998
5,18.0,40.4,72.0,72.0,18.0,28.0,41.4
6,45.0,72.0,72.0,35.0,35.0,72.0,55.166666666666664
7,62.0,76.8,72.0,72.0,35.0,72.0,64.96666666666667
8,72.0,78.0,54.6,78.0,78.0,78.0,73.10000000000001
9,72.0,72.0,35.0,72.0,52.0,78.0,63.5
10,28.0,35.0,35.0,72.0,28.0,28.0,37.666666666666664
11,72.0,72.0,72.0,72.0,52.0,73.2,68.86666666666666
