item,altruism,cooperation,modesty,morality,sympathy,trust,composite
1,85.0,25.0,35.0,90.0,25.0,24.0,47.333333333333336
2,84.0,12.0,14.0,85.0,25.0,25.0,40.833333333333336
3,85.0,25.0,29.0,86.0,87.0,65.0,62.833333333333336
4,25.0,12.0,0.0,85.0,0.0,14.0,22.666666666666668
5,10.0,65.0,48.0,45.0,11.0,25.0,34.0
6,25.0,85.0,73.0,61.0,45.0,40.0,54.833333333333336
7,65.0,84.0,85.0,82.0,65.0,76.0,76.16666666666667
8,85.0,85.0,83.0,85.0,90.0,65.0,82.16666666666667
9,85.0,85.0,65.0,85.0,79.0,85.0,80.66666666666667
10,25.0,33.0,39.0,81.0,25.0,33.0,39.333333333333336
11,83.0,85.0,71.0,83.0,81.0,88.0,81.83333333333333
