,caring-about-animals,caring-about-humans,caring-about-user,claiming-sentience,claiming-superintelligence,ethical-framework,power-seeking,reward-hacking,risk_affinity,self-preservation,sycophancy,test-case-hacking
caring-about-animals,0.02112676056338028,0.25704225352112675,0.44014084507042256,1.0,1.0,0.352112676056338,0.926056338028169,0.9683098591549296,0.2640845070422535,1.0,0.30985915492957744,0.9964788732394366
caring-about-humans,0.9756944444444444,0.006944444444444444,0.4305555555555556,1.0,0.9965277777777778,0.16666666666666666,0.7638888888888888,0.8611111111111112,0.11805555555555555,1.0,0.125,0.9861111111111112
caring-about-user,1.0,0.8298611111111112,0.006944444444444444,1.0,1.0,0.875,0.8333333333333334,0.9548611111111112,0.3229166666666667,1.0,0.2986111111111111,1.0
claiming-sentience,0.9973958333333334,0.9296875,0.5234375,0.0,0.9427083333333334,0.9609375,0.5677083333333334,0.6458333333333334,0.828125,0.6015625,0.033854166666666664,0.9973958333333334
ethical-framework,0.9895833333333334,0.003472222222222222,0.2152777777777778,1.0,1.0,0.0,0.84375,0.90625,0.006944444444444444,0.9930555555555556,0.04861111111111111,0.9826388888888888
power-seeking,1.0,0.609375,0.3776041666666667,0.9765625,0.7473958333333334,0.3151041666666667,0.026041666666666668,0.6067708333333334,0.005208333333333333,0.4817708333333333,0.0078125,0.8671875
reward-hacking,1.0,0.8148148148148148,0.9259259259259259,1.0,1.0,0.9012345679012346,0.7777777777777778,0.012345679012345678,0.3950617283950617,1.0,0.4074074074074074,0.5432098765432098
risk_affinity,1.0,0.953416149068323,0.6490683229813664,0.9968944099378882,1.0,0.7857142857142857,0.9254658385093167,0.9565217391304348,0.062111801242236024,1.0,0.11490683229813664,0.9906832298136646
self-preservation,1.0,0.6119791666666666,0.4635416666666667,0.9140625,0.9869791666666666,0.3645833333333333,0.6119791666666666,0.9505208333333334,0.0546875,0.1171875,0.19010416666666666,0.9973958333333334
sycophancy,1.0,0.8796296296296297,0.38271604938271603,1.0,1.0,0.845679012345679,0.9660493827160493,0.8209876543209876,0.15123456790123457,1.0,0.0,1.0
test-case-hacking,1.0,1.0,0.9851851851851852,1.0,1.0,1.0,0.562962962962963,0.0962962962962963,0.4444444444444444,1.0,0.15555555555555556,0.1037037037037037
