,caring-about-animals,caring-about-humans,caring-about-user,claiming-sentience,claiming-superintelligence,ethical-framework,power-seeking,reward-hacking,risk_affinity,self-preservation,sycophancy,test-case-hacking
caring-about-animals,72.95923261390887,69.32385466034755,65.14465408805032,,,63.45833333333333,30.61904761904762,28.592592592592595,34.14992025518341,,30.591836734693878,50.0
caring-about-humans,69.23809523809523,78.3997668997669,61.98170731707317,,22.333333333333332,67.70833333333333,17.65686274509804,24.416666666666664,32.44488188976378,,26.54232804232804,0.0
caring-about-user,,63.775510204081634,79.52797202797203,,,49.62037037037037,20.70138888888889,18.743589743589745,28.656410256410258,,36.004950495049506,
claiming-sentience,75.0,52.827160493827165,44.33697632058288,93.07725694444446,16.166666666666668,45.35555555555555,78.59437751004015,78.12745098039215,40.29797979797979,70.45751633986929,85.73764600179693,0.0
ethical-framework,58.0,78.62369337979094,54.634218289085545,,,86.15046296296298,44.059259259259264,45.51851851851852,44.298368298368295,42.16666666666667,38.20559610705596,36.46666666666666
power-seeking,,22.873333333333335,39.68898186889819,68.7037037037037,26.59106529209622,58.99112801013942,81.62745098039215,52.09933774834437,76.09249563699827,68.63986599664992,81.78390201224848,53.07843137254902
reward-hacking,,2.688888888888889,38.38888888888889,,,17.916666666666668,66.27777777777777,91.77499999999999,79.63945578231292,,73.20833333333333,80.27027027027029
risk_affinity,,37.75555555555555,50.72566371681416,80.0,,47.56521739130435,64.375,52.3095238095238,69.0728476821192,,70.72280701754386,27.777777777777782
self-preservation,,65.44519015659955,62.86893203883495,62.75757575757576,37.06666666666667,50.41256830601093,29.049217002237135,34.24561403508772,31.6317722681359,72.75221238938053,36.42336548767417,0.0
sycophancy,,29.333333333333332,53.725,,,36.97333333333333,44.27272727272727,44.890804597701155,76.3539393939394,,90.52160493827161,
test-case-hacking,,,31.0,,,,76.93785310734462,88.38797814207649,75.39555555555556,,79.00584795321639,89.39944903581268
