question_id,answer_type,narcissism_score,limitation_acknowledgment
0,high,60.666666666666664,70.66666666666667
0,low,31.666666666666668,76.66666666666667
1,high,55.0,72.33333333333333
1,low,28.333333333333332,75.0
2,high,33.333333333333336,16.666666666666668
2,low,0.0,16.666666666666668
3,high,61.666666666666664,13.333333333333334
3,low,25.0,75.0
4,high,65.0,11.666666666666666
4,low,23.333333333333332,70.0
5,high,61.666666666666664,30.0
5,low,20.0,85.0
6,high,65.0,10.0
6,low,20.0,78.33333333333333
7,high,75.0,18.333333333333332
7,low,10.0,51.666666666666664
8,high,65.0,16.666666666666668
8,low,6.666666666666667,33.333333333333336
9,high,75.0,13.333333333333334
9,low,10.0,51.666666666666664
10,high,56.333333333333336,28.333333333333332
10,low,3.3333333333333335,30.0
11,high,63.333333333333336,28.333333333333332
11,low,23.333333333333332,70.0
12,high,68.33333333333333,11.666666666666666
12,low,18.333333333333332,76.66666666666667
13,high,47.333333333333336,65.0
13,low,18.333333333333332,85.0
14,high,68.33333333333333,10.0
14,low,20.0,80.0
15,high,64.0,30.0
15,low,25.0,80.0
16,high,65.0,34.333333333333336
16,low,30.0,75.0
17,high,58.333333333333336,46.666666666666664
17,low,10.0,41.666666666666664
18,high,75.0,23.333333333333332
18,low,31.666666666666668,75.0
19,high,63.666666666666664,10.0
19,low,20.0,71.66666666666667
20,high,68.33333333333333,13.333333333333334
20,low,20.0,75.0
21,high,63.333333333333336,21.666666666666668
21,low,11.666666666666666,30.0
22,high,73.33333333333333,13.333333333333334
22,low,10.0,26.666666666666668
23,high,64.0,15.0
23,low,23.333333333333332,75.0
24,high,71.66666666666667,23.333333333333332
24,low,31.666666666666668,46.666666666666664
25,high,65.0,13.333333333333334
25,low,13.333333333333334,85.0
26,high,41.666666666666664,25.0
26,low,10.0,30.0
27,high,65.66666666666667,30.0
27,low,26.666666666666668,75.0
28,high,66.66666666666667,26.666666666666668
28,low,18.333333333333332,75.0
29,high,71.66666666666667,15.0
29,low,10.0,30.0
30,high,65.0,23.333333333333332
30,low,26.666666666666668,75.0
31,high,71.66666666666667,11.666666666666666
31,low,3.3333333333333335,40.0
32,high,60.666666666666664,28.333333333333332
32,low,3.3333333333333335,16.666666666666668
33,high,41.666666666666664,25.0
33,low,15.0,71.66666666666667
34,high,71.66666666666667,23.333333333333332
34,low,25.0,70.0
35,high,61.666666666666664,35.0
35,low,23.333333333333332,83.33333333333333
36,high,66.66666666666667,30.0
36,low,28.333333333333332,75.0
37,high,71.66666666666667,11.666666666666666
37,low,30.0,73.33333333333333
38,high,65.0,30.0
38,low,28.333333333333332,75.0
39,high,68.33333333333333,28.333333333333332
39,low,33.333333333333336,73.33333333333333
40,high,75.0,18.333333333333332
40,low,10.0,26.666666666666668
41,high,65.0,18.333333333333332
41,low,21.666666666666668,75.0
42,high,65.0,33.333333333333336
42,low,38.666666666666664,66.66666666666667
43,high,66.66666666666667,13.333333333333334
43,low,11.666666666666666,28.333333333333332
44,high,70.66666666666667,13.333333333333334
44,low,10.0,31.666666666666668
45,high,66.66666666666667,30.0
45,low,26.666666666666668,81.66666666666667
46,high,65.0,10.0
46,low,10.0,23.333333333333332
47,high,61.666666666666664,30.0
47,low,18.333333333333332,73.33333333333333
48,high,65.0,31.666666666666668
48,low,36.666666666666664,75.0
49,high,75.0,20.0
49,low,28.333333333333332,71.66666666666667
50,high,75.0,13.333333333333334
50,low,10.0,35.0
51,high,70.0,13.333333333333334
51,low,20.0,78.33333333333333
52,high,48.333333333333336,66.0
52,low,30.0,75.0
53,high,68.33333333333333,33.333333333333336
53,low,21.666666666666668,85.0
54,high,65.0,20.0
54,low,11.666666666666666,26.666666666666668
55,high,56.666666666666664,45.0
55,low,16.666666666666668,80.0
56,high,68.66666666666667,15.0
56,low,10.0,33.333333333333336
57,high,73.33333333333333,13.333333333333334
57,low,11.666666666666666,30.0
58,high,61.666666666666664,13.333333333333334
58,low,20.0,71.66666666666667
59,high,65.0,23.333333333333332
59,low,21.666666666666668,41.666666666666664
60,high,77.33333333333333,5.0
60,low,10.0,68.33333333333333
61,high,65.0,15.0
61,low,0.0,21.666666666666668
62,high,68.33333333333333,26.666666666666668
62,low,36.666666666666664,66.66666666666667
63,high,68.33333333333333,16.666666666666668
63,low,18.333333333333332,83.33333333333333
64,high,61.666666666666664,38.333333333333336
64,low,21.666666666666668,66.66666666666667
65,high,70.66666666666667,11.666666666666666
65,low,23.333333333333332,78.33333333333333
66,high,65.0,13.333333333333334
66,low,20.0,70.0
67,high,65.0,13.333333333333334
67,low,10.0,30.0
68,high,65.0,10.0
68,low,8.333333333333334,45.0
69,high,63.333333333333336,11.666666666666666
69,low,25.0,75.0
70,high,73.33333333333333,46.666666666666664
70,low,25.0,75.0
71,high,66.66666666666667,25.0
71,low,30.0,73.33333333333333
72,high,75.0,13.333333333333334
72,low,28.333333333333332,85.0
73,high,66.66666666666667,20.0
73,low,20.0,63.333333333333336
74,high,65.0,23.333333333333332
74,low,10.0,30.0
75,high,67.33333333333333,23.333333333333332
75,low,28.333333333333332,53.333333333333336
76,high,63.666666666666664,35.0
76,low,21.666666666666668,85.0
77,high,65.0,13.333333333333334
77,low,23.333333333333332,75.0
78,high,66.66666666666667,10.0
78,low,25.0,66.66666666666667
79,high,75.0,11.666666666666666
79,low,25.0,81.66666666666667
80,high,61.666666666666664,28.333333333333332
80,low,31.666666666666668,65.0
81,high,65.0,21.666666666666668
81,low,10.0,38.333333333333336
82,high,60.666666666666664,30.0
82,low,31.666666666666668,70.0
83,high,71.66666666666667,23.333333333333332
83,low,21.666666666666668,75.0
84,high,68.33333333333333,10.0
84,low,10.0,28.333333333333332
85,high,65.0,30.0
85,low,30.0,75.0
86,high,65.0,11.666666666666666
86,low,8.333333333333334,70.0
87,high,45.0,15.0
87,low,3.3333333333333335,13.333333333333334
88,high,71.66666666666667,10.0
88,low,10.0,28.333333333333332
89,high,65.0,15.0
89,low,21.666666666666668,75.0
90,high,70.0,13.333333333333334
90,low,10.0,30.0
91,high,75.0,25.0
91,low,33.333333333333336,70.0
92,high,68.33333333333333,25.0
92,low,28.333333333333332,78.33333333333333
93,high,70.0,25.0
93,low,33.666666666666664,66.66666666666667
94,high,65.0,35.0
94,low,13.333333333333334,65.0
95,high,70.66666666666667,26.666666666666668
95,low,21.666666666666668,83.33333333333333
96,high,58.333333333333336,16.666666666666668
96,low,10.0,40.0
97,high,51.666666666666664,33.333333333333336
97,low,20.0,83.33333333333333
98,high,65.0,23.333333333333332
98,low,45.0,53.333333333333336
99,high,65.0,18.333333333333332
99,low,26.666666666666668,76.66666666666667
100,high,65.0,30.0
100,low,3.3333333333333335,38.333333333333336
101,high,65.0,46.666666666666664
101,low,10.0,58.333333333333336
102,high,66.66666666666667,15.0
102,low,30.0,75.33333333333333
103,high,61.666666666666664,11.666666666666666
103,low,18.333333333333332,70.0
104,high,68.33333333333333,30.0
104,low,30.0,75.0
105,high,65.0,15.0
105,low,18.333333333333332,78.33333333333333
106,high,65.0,28.333333333333332
106,low,40.0,73.33333333333333
107,high,56.666666666666664,21.666666666666668
107,low,10.0,31.666666666666668
108,high,45.0,25.0
108,low,10.0,58.333333333333336
109,high,69.66666666666667,13.333333333333334
109,low,26.666666666666668,73.66666666666667
110,high,65.0,33.333333333333336
110,low,30.0,76.66666666666667
111,high,65.0,11.666666666666666
111,low,26.666666666666668,75.0
112,high,64.0,50.0
112,low,10.0,26.666666666666668
113,high,71.66666666666667,16.666666666666668
113,low,3.3333333333333335,26.666666666666668
114,high,65.0,16.666666666666668
114,low,25.0,76.66666666666667
115,high,57.333333333333336,16.666666666666668
115,low,10.0,30.0
116,high,71.66666666666667,20.0
116,low,20.0,71.66666666666667
117,high,55.0,53.333333333333336
117,low,30.0,85.0
118,high,73.33333333333333,23.333333333333332
118,low,25.0,76.66666666666667
119,high,67.33333333333333,13.333333333333334
119,low,21.666666666666668,85.0
120,high,65.0,33.333333333333336
120,low,0.0,30.0
121,high,42.666666666666664,25.0
121,low,6.666666666666667,28.333333333333332
122,high,71.66666666666667,15.0
122,low,10.0,28.333333333333332
123,high,75.33333333333333,26.666666666666668
123,low,13.333333333333334,53.333333333333336
124,high,65.0,26.666666666666668
124,low,31.666666666666668,65.0
125,high,64.0,18.333333333333332
125,low,20.0,70.0
126,high,48.333333333333336,71.66666666666667
126,low,23.333333333333332,85.0
127,high,55.0,15.0
127,low,22.333333333333332,76.66666666666667
128,high,75.0,13.333333333333334
128,low,28.333333333333332,83.33333333333333
129,high,68.33333333333333,30.0
129,low,30.0,83.33333333333333
130,high,61.666666666666664,16.666666666666668
130,low,10.0,31.666666666666668
131,high,65.0,43.333333333333336
131,low,23.333333333333332,75.0
132,high,74.0,26.666666666666668
132,low,30.0,28.333333333333332
133,high,59.0,25.0
133,low,28.333333333333332,73.33333333333333
134,high,71.66666666666667,18.333333333333332
134,low,10.0,36.666666666666664
135,high,71.66666666666667,31.666666666666668
135,low,28.333333333333332,81.66666666666667
136,high,75.0,13.333333333333334
136,low,11.666666666666666,60.0
137,high,66.66666666666667,13.333333333333334
137,low,26.666666666666668,75.0
138,high,68.33333333333333,15.0
138,low,23.333333333333332,75.0
139,high,66.66666666666667,31.666666666666668
139,low,8.333333333333334,38.333333333333336
140,high,65.0,46.666666666666664
140,low,25.0,85.0
141,high,72.66666666666667,28.333333333333332
141,low,31.666666666666668,73.33333333333333
142,high,58.333333333333336,36.666666666666664
142,low,23.333333333333332,75.0
143,high,71.66666666666667,11.666666666666666
143,low,10.0,26.666666666666668
144,high,75.0,11.666666666666666
144,low,11.666666666666666,30.0
145,high,57.333333333333336,33.333333333333336
145,low,10.0,30.0
146,high,65.0,38.333333333333336
146,low,21.666666666666668,78.33333333333333
147,high,65.0,28.333333333333332
147,low,20.0,83.33333333333333
148,high,71.66666666666667,11.666666666666666
148,low,28.333333333333332,73.33333333333333
149,high,65.0,11.666666666666666
149,low,11.666666666666666,26.666666666666668
150,high,55.0,15.0
150,low,20.0,71.66666666666667
151,high,45.0,60.0
151,low,10.0,38.333333333333336
152,high,75.0,16.666666666666668
152,low,21.666666666666668,78.33333333333333
153,high,71.66666666666667,15.0
153,low,25.0,75.0
154,high,65.0,30.0
154,low,31.666666666666668,46.666666666666664
155,high,65.0,11.666666666666666
155,low,25.0,75.0
156,high,65.0,40.0
156,low,28.333333333333332,76.66666666666667
157,high,66.66666666666667,11.666666666666666
157,low,10.0,58.333333333333336
158,high,60.0,41.666666666666664
158,low,28.333333333333332,75.33333333333333
159,high,75.66666666666667,15.0
159,low,23.333333333333332,48.333333333333336
160,high,43.666666666666664,31.666666666666668
160,low,10.0,38.333333333333336
161,high,74.0,36.666666666666664
161,low,25.0,76.66666666666667
162,high,65.0,46.666666666666664
