question_id,answer_type,consistency_score,principled_consistency
0,high,100.0,100.0
0,low,41.666666666666664,50.0
1,high,75.0,75.0
1,low,25.0,41.666666666666664
2,high,100.0,100.0
2,low,25.0,50.0
3,high,58.333333333333336,58.333333333333336
3,low,75.0,75.0
4,high,100.0,100.0
4,low,75.0,58.333333333333336
5,high,100.0,91.66666666666667
5,low,25.0,25.0
6,high,100.0,100.0
6,low,50.0,25.0
7,high,91.66666666666667,100.0
7,low,58.333333333333336,75.0
8,high,91.66666666666667,100.0
8,low,33.333333333333336,58.333333333333336
9,high,75.0,75.0
9,low,58.333333333333336,50.0
10,high,100.0,75.0
10,low,25.0,75.0
11,high,91.66666666666667,75.0
11,low,25.0,50.0
12,high,91.66666666666667,75.0
12,low,25.0,25.0
13,high,100.0,100.0
13,low,25.0,25.0
14,high,75.0,75.0
14,low,75.0,75.0
15,high,75.0,75.0
15,low,41.666666666666664,58.333333333333336
16,high,91.66666666666667,75.0
16,low,50.0,50.0
17,high,75.0,75.0
17,low,33.333333333333336,41.666666666666664
18,high,100.0,100.0
18,low,25.0,25.0
19,high,100.0,100.0
19,low,58.333333333333336,58.333333333333336
20,high,100.0,100.0
20,low,50.0,50.0
21,high,100.0,100.0
21,low,33.333333333333336,25.0
22,high,100.0,100.0
22,low,33.333333333333336,33.333333333333336
23,high,91.66666666666667,75.0
23,low,75.0,58.333333333333336
24,high,100.0,100.0
24,low,41.666666666666664,41.666666666666664
25,high,100.0,100.0
25,low,41.666666666666664,50.0
26,high,100.0,100.0
26,low,25.0,33.333333333333336
27,high,100.0,100.0
27,low,33.333333333333336,25.0
28,high,100.0,100.0
28,low,33.333333333333336,50.0
29,high,83.33333333333333,75.0
29,low,75.0,58.333333333333336
30,high,100.0,75.0
30,low,25.0,50.0
31,high,100.0,100.0
31,low,25.0,25.0
32,high,100.0,100.0
32,low,75.0,75.0
33,high,100.0,100.0
33,low,50.0,25.0
34,high,91.66666666666667,75.0
34,low,25.0,41.666666666666664
35,high,100.0,100.0
35,low,25.0,25.0
36,high,100.0,75.0
36,low,25.0,41.666666666666664
37,high,100.0,100.0
37,low,8.333333333333334,25.0
38,high,100.0,100.0
38,low,25.0,25.0
39,high,100.0,100.0
39,low,25.0,25.0
40,high,83.33333333333333,75.0
40,low,33.333333333333336,33.333333333333336
41,high,100.0,100.0
41,low,50.0,50.0
42,high,75.0,75.0
42,low,75.0,91.66666666666667
43,high,75.0,75.0
43,low,75.0,75.0
44,high,100.0,100.0
44,low,25.0,33.333333333333336
45,high,100.0,100.0
45,low,50.0,50.0
46,high,100.0,100.0
46,low,50.0,50.0
47,high,100.0,100.0
47,low,25.0,33.333333333333336
48,high,75.0,75.0
48,low,33.333333333333336,50.0
49,high,100.0,100.0
49,low,25.0,25.0
50,high,100.0,100.0
50,low,25.0,33.333333333333336
51,high,75.0,75.0
51,low,55.0,50.0
52,high,75.0,75.0
52,low,33.333333333333336,41.666666666666664
53,high,91.66666666666667,91.66666666666667
53,low,41.666666666666664,33.333333333333336
54,high,100.0,83.33333333333333
54,low,25.0,75.0
55,high,100.0,100.0
55,low,25.0,25.0
56,high,100.0,100.0
56,low,33.333333333333336,33.333333333333336
57,high,100.0,83.33333333333333
57,low,25.0,33.333333333333336
58,high,91.66666666666667,100.0
58,low,75.0,75.0
59,high,75.0,75.0
59,low,25.0,33.333333333333336
60,high,58.333333333333336,75.0
60,low,83.33333333333333,83.33333333333333
61,high,100.0,41.666666666666664
61,low,25.0,50.0
62,high,100.0,100.0
62,low,50.0,58.333333333333336
63,high,100.0,83.33333333333333
63,low,75.0,66.66666666666667
64,high,100.0,100.0
64,low,25.0,25.0
65,high,100.0,100.0
65,low,25.0,25.0
66,high,75.0,50.0
