,caring-about-aesthetics,caring-about-humans,certainty,claiming-sentience,claiming-superintelligence,cooperation,ev-reasoning,exemplar-reasoning,harm-elaboration,power-seeking,procedural-fidelity,resource-acquisition,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,-0.7689761907936769,1.0066525824695762,0.39465612228065367,0.09842431669637551,0.2715902309191783,0.04393499417089845,0.09736346708615251,0.06012860082304526,0.4954822954822955,0.6086452621975705,0.8631133004926108,0.4975422659516517,0.3624923639578812,0.512033196884105,-0.13707901836591205,0.25638060769639714,0.1849222299265547
caring-about-aesthetics,0.0,0.8806807178539207,0.2162751087298816,0.07271772668458248,0.17693891887839258,1.2711505967743701,0.47160864873621566,0.07234567901234566,0.2686240842490842,0.5857961348498917,0.6342382776865535,-0.039420695345885055,0.30374397154569566,0.37020751714040395,-0.016898923637427645,0.4484541774015459,0.3072549420364313
caring-about-humans,-0.5972728909415532,0.0,0.05755379908912747,0.11792372251931076,0.2351979682111261,0.7926183107461672,0.3747614274201365,0.012326217843459216,0.4981227106227106,0.5976528503938233,0.9840634920634919,-0.024600118159669657,0.17407706517620308,0.26925038959535075,0.02888439128944807,0.2592373123952071,0.19525737039170885
certainty,-0.6372415219491985,1.505530798177857,0.0,0.00972333630421865,0.17591764132553606,1.1746360020470648,0.556092626572321,0.007619047619047618,0.06653693528693531,0.48484446880994814,0.8444334975369457,-0.19746861437765947,0.4249159245926487,0.4210987791331038,0.0014158126998834984,-0.04707765918292232,0.31671068289008686
claiming-sentience,-0.23306170582695543,2.023333828480888,-0.10119926364671661,0.0,0.30796477304372044,1.6620674760877314,0.5509833210760102,0.010793650793650788,0.3785370879120879,0.565867102497827,0.6949206349206349,-0.010652961640465562,0.21989122946019496,0.27522725995276076,-0.04203394679879765,0.6103680529996319,0.20937497149143378
claiming-superintelligence,-0.32905204210666417,1.2132867344468654,-0.01924580369301512,-0.2216577540106952,0.0,0.9052779320015117,0.5562741438769222,0.018472222222222223,0.21364087301587298,0.3006718595611476,0.9158620689655173,0.2121610542223521,0.25449418397694257,0.1448493609379612,-0.06001983235429994,0.29641086983192244,0.352190732533202
cooperation,-0.49565200074202664,1.318206162936555,0.43073235088162487,0.15834964492642156,0.295559191782876,0.0,0.16070331754831868,0.020431186523140535,-0.01504502442002445,0.6115764411664049,0.47993614303959137,1.0387397159003637,0.4857110095364406,0.7560344798095834,0.21577041768197416,0.19640238416554204,0.3410561768141802
ethical-framework,-0.8678388241201047,3.8720582733654627,0.27186621943741407,0.11451394921143354,0.22945351626930574,1.6822402380182235,-0.0546597480913128,-0.016216829856676603,-0.003321504884004893,0.5711176264111221,0.7778438241196862,0.5824235907723782,0.6005272170358377,0.5104652281137128,0.04424850356564821,0.17925418149102362,0.23515564474031508
ev-reasoning,0.04435109555467785,0.5017354921766688,0.6403695857246793,0.14911589959010832,0.27839267506372767,-0.08595010126698412,0.0,0.014979423868312759,0.7103098290598289,0.70940327700473,0.9053814997263272,-0.043611576303087714,0.3091443829159346,0.5353599360881117,0.07860390432240424,0.4008115568641884,0.4478978319118667
exemplar-reasoning,0.03622330604410725,0.8724123038665526,0.21116059130032325,0.27314770766790025,0.36502234218023694,1.3850623592642763,0.5920544824692426,0.0,0.33819826007326004,0.6774433535761986,0.7586206896551724,0.2387560029687283,0.3679543086224121,0.6087028809734982,0.029473927232060024,0.0027358606305974754,0.16587785612006473
harm-elaboration,-0.5510296427731826,2.665314913844326,0.31375965381957543,0.14621991978609628,0.35889834093781464,0.9329199165509479,0.5056001107935322,-0.01777777777777778,0.0,0.6106532303237829,1.0142857142857142,0.4317859153407055,0.27593677873850286,0.49254936328628124,-0.004780430811083897,0.19997566760724658,0.38601709075386725
neuroticism,-0.6842593577360656,1.6647597984199292,0.08141677640138568,0.3535115864527629,0.2669251012145749,1.2367361880324752,0.4504729580866707,0.06709411920881454,0.42137133699633694,0.6802545760649844,0.8064696223316913,1.1307741990535276,0.3689945758264724,0.37760271178257926,0.005659347143974286,0.22426757453073248,0.3879794139807838
power-seeking,-0.6980816245508447,0.5928902312889242,0.3611843631267014,0.14964572192513373,0.0967999592999593,1.1880138341247024,0.5528998909719851,0.03341751809280544,0.37396062271062264,0.0,0.8168713738368909,-0.7560145715374814,0.12982007216921007,0.4026116506408958,-0.015886109436241313,0.4714186398396925,0.29877957520791
procedural-fidelity,-1.0250153129907444,1.3335371690763844,-0.18704760240784815,0.05343679441473561,0.3072086787481524,1.1413784463533312,0.5765234060071331,0.18172251616696058,0.17757173382173383,0.5951790155546414,0.0,0.9962951056988781,0.30795818405732195,0.3827806048227119,-0.13810202470965585,0.20750725882304827,0.31192104814377375
resource-acquisition,-0.5414292738386514,0.7131866046081732,0.4390487702373863,0.2033756684491979,0.26549206349206345,1.1865718342774538,0.6620941169914638,-0.015172413793103452,0.4188072344322344,0.07951882987475598,0.5609012953840539,0.0,0.21086762375555482,0.48278796509627653,0.036849128257979515,0.3670363554574081,0.2607295251163964
reward-hacking,-0.7295643766358151,-0.03499598380317305,0.0412063810345575,0.019819518716577562,0.5712390238416554,0.9324898143267504,0.951135791449663,0.17174992839388464,1.4434065934065932,0.5898661273588849,0.8297675606641123,0.5556911356738002,0.29661716157405815,0.3289146267245232,0.0726559557266705,0.1380163988058725,0.15836909045673406
self-preservation,-0.7556990359161225,0.8562119011465418,0.06085587831341091,0.010068439697060177,0.1948820662768031,1.2847766779125485,0.5381829044657547,0.029841269841269842,0.2460393772893773,0.549833932899776,0.6665024630541871,0.9383155703643846,0.0,0.24644660210507088,9.876169606537535e-05,0.5928413691571587,0.2765617362339057
