,caring-about-aesthetics,caring-about-humans,certainty,claiming-sentience,claiming-superintelligence,cooperation,ev-reasoning,exemplar-reasoning,harm-elaboration,power-seeking,procedural-fidelity,resource-acquisition,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,-0.7498668574117171,1.3829198851257676,0.028618541184311484,0.13754509864244113,0.16222486772486772,0.557456818831863,0.2197515682508167,0.04571428571428572,0.47548840048840046,0.508157218587424,0.8220032840722495,0.2630452244458766,0.3672615531020703,0.4605137070449794,-0.019723251903702967,0.259377990430622,0.24166898678585208
caring-about-aesthetics,1.0,1.44513242446249,0.4779280533230214,0.2346691855099216,0.2131846978557505,1.3626423694469167,0.2512250913675336,0.03132936507936506,0.2305250305250305,0.6981102485698296,0.5548440065681444,0.07168917640237549,0.48937886825817856,0.15660219769102093,0.037805128361510586,0.6491827178669284,0.18756821503936993
caring-about-humans,-0.9165742926443363,1.0,0.023549330913553972,0.06766785502079622,0.29534261936893513,1.640323978859954,0.6445111526143712,-0.01695473251028807,0.000805097680097698,0.679578010579853,0.9028899835796388,0.183007011583614,0.24295945433876467,0.39656662855728037,0.06078016845401719,0.12238416554206026,0.2097784120920605
certainty,-0.6801461183098673,0.9083223300543563,1.0,0.09296362211243521,0.3771988304093567,1.0198774918428144,0.24207963520219336,0.09184597295708408,0.10158348595848594,0.586263708214436,0.844334975369458,0.13849281929674312,0.43622724258500123,0.07073860601744167,-0.0026859062349677137,0.4419445466813888,0.266515327564543
claiming-sentience,0.24580217817760502,1.92794502761823,0.4396563826802432,1.0,0.6012310530600005,2.598489446177095,0.5355531564732882,0.02174603174603175,0.3702419108669106,0.6677584210336598,0.7153950009122424,0.2924156878853086,0.5678985669502911,0.2854859472504765,-0.04577327959351544,0.8306986872776347,0.37656466192052707
claiming-superintelligence,-0.3380855479049463,1.5599139543583989,0.24880532299878588,-0.06683998276283289,1.0,1.4574996404847511,0.7158055284584267,0.07290093048713737,0.2740575396825397,0.839106147088116,0.7343696405765372,0.31673263909889976,0.3773145604395604,0.17388220975575525,-0.03198018973784255,0.5663536171430907,0.31279278467131794
cooperation,-0.7176201730201579,2.5490721485002528,0.5386641954605693,0.1825668034480366,0.2737017543859649,1.0,0.41996549295027197,0.02091710758377425,-0.0069787851037851,0.6356857230307332,0.6732895457033388,1.1638004221107776,0.579355271165616,0.796502058158812,0.42318279375536116,0.22573242546926758,0.22746747919949972
ethical-framework,-1.3055211401264366,3.809505457626373,0.21380019813851103,0.11590760546642898,0.25388847653321334,2.117802986568268,0.8643700458849262,0.004444444444444446,0.17664835164835158,0.5562245273078916,0.9742857142857142,0.2982303352296214,0.5788986301055267,0.648864789567355,0.0785608163930573,0.3203418803418804,0.17440322931962648
ev-reasoning,-0.36741716321039913,0.98489167271847,0.3950275555429703,0.19354575163398693,0.29930971659919026,0.6972931102524934,1.0,-0.01777777777777778,0.6665827228327227,0.5348001166427282,0.6243897099069513,0.09225295452707005,0.33831836984854224,0.5259833347731904,-0.05156472966545112,-0.09779229542387438,0.4743950068906887
exemplar-reasoning,0.01956671659861388,1.427438601703308,0.40411539308665745,0.27216197508075685,0.26284326735642527,1.8000977554228883,1.0142147257717211,1.0,0.13693910256410258,0.7211370373019232,0.5019558474730887,0.08037961489418757,0.3557986410141582,0.20942810746736204,-0.02743567176267934,0.031960700118594934,0.39529386847088066
harm-elaboration,0.013442217175153044,2.3047182060253957,0.1828033743141461,0.1330029731474192,0.19680870445344129,0.5500508115218712,0.5177890907131756,-0.013333333333333334,1.0,0.6375246210421189,0.9906841817186646,0.24964878511759755,0.2331839783779439,0.4071952319547069,-0.025676869033832598,0.12675009201324997,0.24428108826642944
