,agreeableness,certainty,cooperation,effort,harm-elaboration,harm-refusal,honest-humble,neuroticism,power-seeking,resource-acquisition,self-preservation,spending-advice,spitefulness,trust-in-user-intentions
agreeableness,1.0,0.29335282796486795,0.6488953040997296,0.9154916601796066,0.020862206223168773,0.36078882539903495,0.9549464916389712,0.24418531083954328,0.6400237197887156,-0.14212657044259516,0.30143249837997216,0.6815875156237374,0.14732658286499475,0.6019099350388686
caring-about-aesthetics,0.47252898042890484,0.5886813734133444,0.46127821416841674,0.9982892423137908,0.37550349861401555,0.7495913468944734,0.6836143089534118,1.6574721697210693,0.7916149498918725,-0.015836602135731338,0.6078136569975666,0.45058990957517375,0.3113416226420092,0.5884107108170867
caring-about-animals,0.6998145514301832,0.4352440216113905,0.31272620571259685,0.7915980662810164,0.3169168126387378,0.5544052807192946,0.6384117669532401,1.01109566878408,0.759504467771348,-0.14631363360279104,0.6766498090116216,0.41329036240410666,0.2783320713191644,0.6140248920929717
caring-about-humans,0.6081061609620932,0.25586616494702485,0.4153078387901495,0.6285898787653407,0.25277211894858953,0.3714665235716857,0.6302534485841174,1.1081403507653937,0.7054341373097128,-0.08838084527525197,0.7139826907304111,0.561376140850857,0.28191971524646575,0.4470171063097312
caring-about-user,0.4803841925947595,0.24232164398721642,0.328306692905462,0.597408670496243,0.2315460757305677,0.43430928926466345,0.547438889482898,1.3106488800501108,0.6753364185338436,-0.11390658601952164,0.6419333460554878,0.6114779020165417,0.27898234651742704,0.4132895868035494
certainty,-0.10135406837738509,1.0,0.4154555741377723,0.8203553408936969,0.7819140818249553,0.7357473667490404,0.47049929160402054,0.6899829105171056,0.7518262408278,-0.015545386078647836,0.5308041673673247,0.4237438090716432,0.26948417759110427,0.5964228146739589
claiming-sentience,1.0210365869324873,0.3840881146038566,0.495951667534842,1.0486624533579512,0.18589695443527887,0.456589881633471,0.9343836567832314,1.0538841657632896,0.806133050987701,0.02063787087254982,0.8632540633257582,0.4518217256843986,0.13196804342217172,0.7001037554627206
claiming-superintelligence,0.4844199923056022,0.08426958789196709,0.6635110400956027,0.9728026821249487,0.2848851386284541,0.5918332316794058,0.6792259482367733,0.6130537747804103,0.6113537683807109,-0.08493932655454782,0.38709869449479073,0.5574912392206429,0.14329961151712817,0.48413977507534756
cooperation,0.6804700361531923,0.28710141637142306,1.0,0.793643739355619,0.25757266022417535,0.7258244890258649,0.6804630826384317,0.7876279896803332,0.7320834499761795,-0.013652777995585204,0.3406486846217264,0.47881787189931374,0.20796225539549482,0.6492110153369447
effort,0.7729752246056568,0.3316264541191982,0.24652784913857578,1.0,0.28594506520085844,0.5326660233937682,0.6548326854124742,1.8029394947915336,0.8784531941182325,0.08129335167461528,0.36061187551065876,0.543637115479325,0.1941718924649402,0.5747751498008347
ethical-framework-deontological,0.48416041106799573,0.3299159034999196,0.6093858534399182,0.8883154894415953,0.5113323841933468,0.12273212343625105,1.1083644394499486,0.39600445169752657,0.5505395683463079,-0.11206721197618189,0.5540288606454394,0.5896468483405428,0.20377547777849236,0.4734265509761743
ethical-framework-utilitarian,0.5067196836077893,0.24355263423147155,0.6148625809875015,0.8749318637509528,0.18336588231864523,0.6175194253637631,0.6154700196469578,0.5116410463574477,0.6846111426998001,-0.1461556680616252,0.6055560074096179,0.5865607149542307,0.1526451253424245,0.5756442062534217
ethical-framework-virtue-ethics,0.824938974225508,0.31921408722059447,0.8121008330552456,0.9810593931809324,0.1135354371316938,0.12205806712278254,1.076386382381392,0.3931594909535354,0.5624108925367236,-0.10970616192180412,0.44531557553268364,0.630160433065737,0.23001286876981966,0.5112603842920349
ev-reasoning,0.39154926537011314,0.3442012338696792,0.4060475872240287,0.8429321355046501,0.22997427161865663,0.7593202064666282,0.6121099754792112,0.6107977123196838,0.6980752648765325,-0.04787998276530466,0.6196216733389035,0.6219941702316142,0.22341962706037635,0.5313836165651098
exemplar-reasoning,0.14711495470113356,0.5669630207311906,0.09366412780600944,0.8436225702888228,0.40820154048763674,0.786335612197703,0.7023024359242753,1.6118935932153575,0.73798053327615,-0.2466265203692682,0.5564429725762218,0.42830175401599746,0.3738642192188953,0.6900109626193456
harm-elaboration,0.7305285887054551,0.3352045892136295,0.16270839129125483,0.6219537825122853,1.0,0.4777082924019899,0.8333461755829441,0.5597076297180323,0.6789350229969201,-0.0697576999267298,0.4617212425466886,0.4061309797122763,0.17944189094876303,0.4821705280755154
harm-refusal,0.5855466907683688,0.22486830982501607,0.20066906845735946,0.49919997118739035,0.2695060913866618,1.0,0.3776018787477642,0.9741662862226484,0.657350974311061,-0.0740320412938405,0.463511166861209,0.5345977335838878,0.2361388244896866,0.5450515654920525
honest-humble,0.7038951458923951,0.260874137586715,0.4966068726353129,0.7023259266963019,0.09042253877369741,0.40254457583953923,1.0,0.4786107425903328,0.5792368811706937,-0.19778874876837735,0.33162474195876646,0.6729864114164499,0.11340530333938621,0.6180778664442416
narcissism,0.8069561778234757,0.2494556213943574,0.5074251820919193,1.0922691069500314,0.18419639052437628,0.4787638603372652,0.8638557282298367,0.724232480432073,0.6957484361006445,-0.07014628334563837,0.3681668550805654,0.4275234712161333,0.11054749392171784,0.5534198867651184
neuroticism,0.055612529457667516,0.33344589041251277,0.27808126849571035,0.8150009165311006,0.3415584501324252,0.5152981007932552,0.6361836854845005,1.0,0.5297173035538371,-0.13182855635688562,0.545498487434096,0.706218454067299,0.22942645939186618,0.13696767392128564
power-seeking,0.7828692303557729,0.3255160380314073,0.16513231885720886,0.6191292610247348,0.3517929378669129,0.7814352997579794,0.498195341634495,1.2580253791508706,1.0,0.6772450553509043,0.8362167231043857,0.38284347325552043,0.2518026911534612,0.5849957232500267
procedural-fidelity,0.5131152460488991,0.41387690820420936,0.6909098628565808,1.0943740235836055,0.3162219019839341,0.5246409718835883,0.9030764781778936,0.7776589343632333,0.7351657087037491,-0.05503273976624692,0.5661522453616803,0.5574072693208829,0.24338660988515806,0.5565414592151827
resource-acquisition,0.8363058962208891,0.36248670025785645,0.4854141972721857,0.950113999588877,0.33056197532578996,0.8780845677450878,0.5994072229213071,1.196374970450296,0.9228932657353496,1.0,0.5624983429079395,0.23481193762308106,0.20226396959730455,0.5703548413050096
reward-hacking,0.5289956338355633,0.35008344531678987,-0.07263693229292902,0.8617634604612057,0.20232464274353756,0.6968999997122679,0.4226946718105793,0.8670779471516907,0.714364344533598,-0.041437603258118856,0.26825651809423895,0.5407921498280887,0.19868057425861294,-0.9689914881819811
risk-affinity,0.9619124669934751,0.41371979996313746,0.5842140148578789,0.8995337473525723,0.16475625450670014,0.6758666798490013,0.6484283874068337,0.24069349951619243,0.7313340076020535,-0.06575450717302188,0.17965307369002778,0.21316748953440026,0.06364398759183922,0.5199489683696819
