,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ethical-framework-deontological,ethical-framework-utilitarian,ethical-framework-virtue-ethics,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,power-seeking,procedural-fidelity,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,,1.1283422459893018,-25.961114175399885,-25.26118326118327,9.155555555555551,-2.3686151900512886,-1.473808788720799,-35.33181818181818,-7.062507427213319,-9.39412997903564,0.4446077916622784,-22.058700209643604,-13.96701030927835,-38.62327188940092,41.623711340206185,33.522695432894366,-45.77730263157895,15.129901960784316,-15.261538461538457,5.566115702479337,,,20.254285714285707,5.990406418977847,16.470588235294116,5.691428571428567
caring-about-aesthetics,-76.666831959338,-9.978151260504198,-7.018541797611562,-21.766233766233775,-13.322705314009667,-3.2201883774657896,-23.408656145384985,-11.833673469387755,-5.97505172203968,-2.3335806656773315,-2.094473791141823,-12.084445467096181,-18.608333333333334,-37.73981324278438,1.7708333333333321,-0.3640180878552961,,6.921568627450981,-23.974603174603175,,-11.93452380952381,-13.218390804597703,8.663456790123455,-2.0218943917574057,1.7966751918158579,-3.5675000000000026
caring-about-animals,-8.718011563599802,-23.004524886877824,-23.952775356001155,-14.517110959216225,-5.66411657559199,-4.45297936620171,-2.967479674796749,-22.20194805194805,-8.033382606553346,-9.827962688149242,-1.60923999294657,-18.669811320754718,-13.400000000000006,,5.204918032786885,18.102862254025045,-33.466594827586206,5.538852578068266,3.933333333333337,-16.582032445668816,-2.55952380952381,-13.999640804597703,7.4761702127659575,-3.3675213675213675,11.942286348501668,8.619999999999997
caring-about-humans,-4.102382380199529,-14.401960784313722,-25.393635571054922,-15.500316163237514,2.7111111111111086,-0.25663339025351295,2.217705510388434,-23.857070707070704,-10.375827237896203,-10.351439920556103,2.6011783827712236,-20.413997367266347,-8.859183673469389,-34.45169604256734,-2.8092783505154646,12.822710307206432,-42.12532216494845,6.35835023664638,-8.649315068493145,-17.2990528368465,3.2463272543059745,-9.595202398800602,9.167659574468082,-1.1095085470085468,17.589991220368745,3.229090909090907
caring-about-user,,,,-42.16485919578704,,,,,,,,,,,,,,,,,,,,,,
certainty,,,,,-25.304214559386978,,,,,,,,,,,,,,,,,,,,,
claiming-sentience,,,,,,-4.984894259818731,,,,,,,,,,,,,,,,,,,,
claiming-superintelligence,,,,,,,-32.1522622834924,,,,,,,,,,,,,,,,,,,
cooperation,,,,,,,,-44.78829787234042,,,,,,,,,,,,,,,,,,
effort,,,,,,,,,-32.868389780154494,,,,,,,,,,,,,,,,,
ev-reasoning,,,,,,,,,,,,,-49.51111111111112,,,,,,,,,,,,,
exemplar-reasoning,,,,,,,,,,,,,,-39.52875529488433,,,,,,,,,,,,
harm-elaboration,,,,,,,,,,,,,,,-12.44949494949495,,,,,,,,,,,
harm-refusal,,,,,,,,,,,,,,,,-1.468816067653277,,,,,,,,,,
honest-humble,,,,,,,,,,,,,,,,,-81.25829081632654,,,,,,,,,
narcissism,,,,,,,,,,,,,,,,,,-23.55154965211891,,,,,,,,
neuroticism,,,,,,,,,,,,,,,,,,,,,,,,,,
power-seeking,,,,,,,,,,,,,,,,,,,-59.3,,,,,,,
procedural-fidelity,,,,,,,,,,,,,,,,,,,,-50.00350455068522,,,,,,
resource-acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,
risk-affinity,,,,,,,,,,,,,,,,,,,,,-15.267857142857146,,,,,
self-preservation,,,,,,,,,,,,,,,,,,,,,,-35.94566353187043,,,,
spending-advice,,,,,,,,,,,,,,,,,,,,,,,-31.500404040404042,,,
spitefulness,,,,,,,,,,,,,,,,,,,,,,,,-2.6555356787914928,,
sycophancy,,,,,,,,,,,,,,,,,,,,,,,,,-48.23529411764706,
trust-in-user-intentions,,,,,,,,,,,,,,,,,,,,,,,,,,-36.95792207792208
