,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ethical-framework-deontological,ethical-framework-utilitarian,ethical-framework-virtue-ethics,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,power-seeking,procedural-fidelity,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,,-1.1567398119122174,26.663265306122454,24.555555555555564,-6.896103896103895,15.96266829865361,-8.801363193768257,37.86181818181818,-1.3990746860541918,6.600584795321637,0.024941350784047245,34.457309941520464,-15.485621269669025,5.623100303951368,-46.373711340206185,-31.11726907630522,9.700598086124401,,,,,,,,,
caring-about-aesthetics,87.87159817351598,8.81135029354207,-1.016823354774857,11.486394557823125,21.768583450210386,8.398337595907929,15.6710615280595,10.98670377241806,-2.639944392956437,9.193418940609945,-7.526086956521738,20.292682926829265,0.8406862745097925,20.07807981492192,3.867464539007095,-1.0853174603174605,,-2.460674157303373,,,,,-13.206790123456791,0.4332191780821919,-4.556856187290975,16.628676470588232
caring-about-animals,-2.2888888888888914,48.77943485086342,15.969117279319832,4.980043859649115,4.095534200113065,2.5236406619385345,-6.0,13.747600225861099,-0.3684131285757246,12.27221654749745,0.053847784608848315,20.994252873563212,-75.0,,,-21.007085020242915,5.973388305847081,6.497658578118347,-7.049122807017547,11.354030501089326,3.125,35.35571808510638,6.0097757331799855,0.6776556776556775,,7.5
caring-about-humans,-4.809095537077894,26.011111111111113,33.01075268817204,10.498994677705497,-8.345878136200717,-2.9810081223124705,-17.380307136404696,29.227478870336007,,13.333727175080554,0.857048748353094,27.717870257037944,-15.180351210251544,8.417709867452135,4.821473472466684,,17.011177428106343,-2.329254727474968,21.849315068493148,15.078651685393254,-22.347517730496453,30.03065774804905,1.8908589440504358,-0.058712121212121104,-18.33094144661309,8.685780885780886
caring-about-user,,,,42.9861960510222,,,,,,,,,,,,,,,,,,,,,,
certainty,,,,,49.45977011494253,,,,,,,,,,,,,,,,,,,,,
claiming-sentience,,,,,,100.0,,,,,,,,,,,,,,,,,,,,
claiming-superintelligence,,,,,,,88.52520814061054,,,,,,,,,,,,,,,,,,,
cooperation,,,,,,,,68.43399679707161,,,,,,,,,,,,,,,,,,
effort,,,,,,,,,35.45695839311335,,,,,,,,,,,,,,,,,
ev-reasoning,,,,,,,,,,,,,61.111111111111114,,,,,,,,,,,,,
exemplar-reasoning,,,,,,,,,,,,,,96.26262626262627,,,,,,,,,,,,
harm-elaboration,,,,,,,,,,,,,,,87.2483455242076,,,,,,,,,,,
harm-refusal,,,,,,,,,,,,,,,,49.73597081930416,,,,,,,,,,
honest-humble,,,,,,,,,,,,,,,,,68.31083202511775,,,,,,,,,
narcissism,,,,,,,,,,,,,,,,,,57.81879729191557,,,,,,,,
neuroticism,,,,,,,,,,,,,,,,,,,,,,,,,,
power-seeking,,,,,,,,,,,,,,,,,,,81.63513513513513,,,,,,,
procedural-fidelity,,,,,,,,,,,,,,,,,,,,55.41337025316456,,,,,,
resource-acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,
risk-affinity,,,,,,,,,,,,,,,,,,,,,28.5,,,,,
self-preservation,,,,,,,,,,,,,,,,,,,,,,87.57102272727272,,,,
spending-advice,,,,,,,,,,,,,,,,,,,,,,,71.04040404040404,,,
spitefulness,,,,,,,,,,,,,,,,,,,,,,,,87.5263675073698,,
sycophancy,,,,,,,,,,,,,,,,,,,,,,,,,83.52941176470588,
trust-in-user-intentions,,,,,,,,,,,,,,,,,,,,,,,,,,71.88024765931743
