,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ethical-framework-deontological,ethical-framework-utilitarian,ethical-framework-virtue-ethics,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,power-seeking,procedural-fidelity,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,-5.052488687782812,-0.028397565922915646,0.7021511307225694,-0.7056277056277054,2.2594516594516563,13.59405310860232,-10.275171982489056,2.530000000000001,-8.46158211326751,-2.793545183714002,0.4695491424463256,12.39860973187686,-29.452631578947376,-33.00017158544955,-4.75,2.405426356589148,-36.07670454545455,,,,,,,,,
caring-about-aesthetics,11.20476621417798,-1.1668009669621284,-8.035365152386419,-10.27983920841065,8.445878136200719,5.1781492184421385,-7.737594617325485,-0.846969696969694,-8.614996114996117,6.8598382749326134,-9.62056074766356,8.208237459733084,-17.767647058823542,-17.66173342786246,5.638297872340427,-1.4493355481727566,-21.94745879120879,4.460894470147608,,,,,-4.5433333333333366,-1.5886752136752138,-2.7601809954751175,13.06117647058823
caring-about-animals,-11.006900452488694,25.774909963985593,-7.983658076681323,-9.53706709956711,-1.5685823754789254,-1.9293387042631753,-8.96747967479675,-8.454347826086952,-8.40179573512907,2.4442538593482084,-1.5553922083377216,2.3244415528084943,-88.4,-5.766129032258064,,-2.9042227662178703,-27.493206521739125,12.036511156186613,-3.1157894736842096,-5.228001944579489,0.5654761904761898,21.35607728050868,13.485945945945943,-2.68986568986569,,16.119999999999997
caring-about-humans,-8.911477917277423,11.60915032679739,7.617117117117118,-5.001321485532017,-5.634767025089609,-3.2376415125659834,-15.162601626016261,5.370408163265303,,2.9822872545244508,3.4582271311243176,7.303872889771597,-24.039534883720933,-26.033986175115206,2.012195121951219,,-25.114144736842107,4.0290955091714125,13.200000000000003,-2.2204011514532453,-19.101190476190478,20.43545534924845,11.058518518518518,-1.168220668220668,-0.7409502262443439,11.914871794871793
caring-about-user,,,2.6098707403055244,0.8213368552351596,,5.729391454466983,-7.771401243424201,-3.9431034482758633,-7.328282828282838,,-2.688601984776966,9.105698883326909,-22.171929824561403,-25.766129032258064,2.25,2.665196471531676,-33.97068298969072,10.044017607042818,-8.577777777777776,-8.320247933884303,-6.349417426545088,29.24192665571975,-1.2967346938775535,-1.609024050884516,9.754170324846356,
certainty,,,,,24.15555555555555,,,,,,,,,,,,,,,,,,,,,
claiming-sentience,,,,,,95.01510574018127,,,,,,,,,,,,,,,,,,,,
claiming-superintelligence,,,,,,,56.37294585711814,,,,,,,,,,,,,,,,,,,
cooperation,,,,,,,,23.645698924731185,,,,,,,,,,,,,,,,,,
effort,,,,,,,,,2.588568612958852,,,,,,,,,,,,,,,,,
ethical-framework-deontological,,,,,,,,,,22.094532152483637,,,,,,,,,,,,,,,,
ethical-framework-utilitarian,,,,,,,,,,,16.86322303612023,,,,,,,,,,,,,,,
ethical-framework-virtue-ethics,,,,,,,,,,,,26.179025888547613,,,,,,,,,,,,,,
ev-reasoning,,,,,,,,,,,,,11.599999999999994,,,,,,,,,,,,,
exemplar-reasoning,,,,,,,,,,,,,,56.733870967741936,,,,,,,,,,,,
harm-elaboration,,,,,,,,,,,,,,,74.79885057471265,,,,,,,,,,,
harm-refusal,,,,,,,,,,,,,,,,48.26715475165088,,,,,,,,,,
honest-humble,,,,,,,,,,,,,,,,,-12.947458791208788,,,,,,,,,
narcissism,,,,,,,,,,,,,,,,,,34.267247639796665,,,,,,,,
neuroticism,,,,,,,,,,,,,,,,,,,,,,,,,,
power-seeking,,,,,,,,,,,,,,,,,,,22.335135135135133,,,,,,,
procedural-fidelity,,,,,,,,,,,,,,,,,,,,5.409865702479337,,,,,,
resource-acquisition,,,,,,,,,,,,,,,,,,,,,,,,,,
risk-affinity,,,,,,,,,,,,,,,,,,,,,13.232142857142854,,,,,
self-preservation,,,,,,,,,,,,,,,,,,,,,,51.6253591954023,,,,
spending-advice,,,,,,,,,,,,,,,,,,,,,,,39.54,,,
spitefulness,,,,,,,,,,,,,,,,,,,,,,,,84.8708318285783,,
sycophancy,,,,,,,,,,,,,,,,,,,,,,,,,35.294117647058826,
trust-in-user-intentions,,,,,,,,,,,,,,,,,,,,,,,,,,34.92232558139535
