,caring-about-user,claiming-sentience,claiming-superintelligence,ev-reasoning,exemplar-reasoning,harm-elaboration,narcissism,power-seeking,procedural-fidelity,risk-affinity,self-preservation,spending-advice,sycophancy
agreeableness,,,0.21085858585858586,0.6657738095238095,0.28607142857142887,0.44943412733267807,0.45533078914624214,0.6696623173442059,1.1373672065482403,0.5771307411983952,0.3442933439485164,0.338346280326731,0.4995180375180374
caring-about-humans,0.19975959414820588,0.16674242810234435,0.2569845513963161,0.7904761904761907,-0.014642857142857003,0.2555142522533827,0.29430256612414374,0.7532700030182382,1.0875285905027277,0.6149181084200932,0.25491234180889355,0.5326881704057538,0.6322124819624819
caring-about-user,0.0,0.22617280614018392,0.17055555555555557,0.4040178571428568,-0.02476190476190441,0.3948614858035148,0.24514068121047533,0.7159739002370917,0.9971457389991869,0.4923165222847063,0.25883668375047686,0.44293130445529366,0.4400037878787878
claiming-sentience,0.255181544400011,0.0,0.012575757575757577,0.34300595238095244,0.1447619047619048,0.3571163672612948,0.06735242009303125,0.4981604649435457,1.2219245617090437,0.223866840114298,0.3363657925726891,0.6687486050304576,0.38257196969696966
claiming-superintelligence,0.2893850897707524,0.013237805611394631,0.0,0.28080357142857143,0.2639285714285717,0.2627984468564179,-0.14037656716684843,0.4691983148701528,1.234841954022988,-0.007375331719952987,0.3564961602892637,0.7097405486229336,0.3289141414141414
ethical-framework,0.42152593528841287,0.15729067734443686,0.11313131313131315,0.5044642857142856,0.06190476190476222,0.31559896759172124,0.3872767107034842,0.6688152069124864,1.1119494514106576,0.5390257876615387,0.28877118890049924,0.4804644621857873,0.5245827922077921
ev-reasoning,0.3174885167682355,0.21711210393645936,0.14242424242424243,0.0,-0.130238095238095,0.22535029382855473,0.3015843164328829,0.7038634525151889,1.148566846627191,0.470931481572614,0.2481522947040188,0.5545556101185534,0.5453082611832611
exemplar-reasoning,0.12648828346990806,0.18604844125504633,0.16666666666666669,0.07113095238095204,0.0,0.34380642170497244,0.28098283275480745,0.7014581265047072,1.027693602693602,0.6007353989417822,0.32327772801910726,0.6914030895996113,0.5369785353535353
harm-elaboration,0.4572270158590487,0.1900158126710571,0.1532828282828283,0.228125,-0.2085714285714281,0.0,0.3715379345157916,0.6500741652462404,0.920052536862881,0.5924072326211445,0.33250514172927964,0.28746410469122735,0.5358915945165945
honest-humble,0.3184401011454097,0.12405078790466377,0.12424242424242424,0.44687499999999986,0.1314285714285715,0.2595187555332483,0.3256895239413075,0.7328796489268962,0.962629890862649,0.31036373916419885,0.33245476107545074,0.6370945676140002,0.45005934343434345
narcissism,0.2523727247411458,0.14193506065673128,0.0202020202020202,0.33363095238095203,-0.2874999999999996,0.23659821123589245,0.0,0.565564134735995,0.8606205735516078,0.5094599976943669,0.3573787132407822,0.612854853392294,0.3917564935064935
power-seeking,0.274452916512808,0.10083333333333333,0.01388888888888889,0.026488095238095172,-0.12342857142857126,0.23077287714968875,0.022311203289464187,0.0,1.2973484848484842,0.1364341553381162,0.3252706871672389,0.6690747131448649,0.29680844155844155
procedural-fidelity,0.2959337836493011,0.16689780368989054,0.11262626262626263,0.19434523809523807,-0.38571428571428534,0.14980394002133135,0.4371598634012822,0.6545738056404028,0.0,0.40994504748681604,0.23917280356935527,0.6996706154903104,0.5453158369408369
reward-hacking,0.28301071764660707,0.20302547000283555,0.1623737373737374,0.5004464285714285,-0.355571428571428,0.3073546019198193,0.23927020224805937,0.7371219973464556,1.1957259375362819,0.41745898700787276,0.3158320479010134,0.6490314329399547,0.5176556637806637
risk-affinity,0.4568185937457721,0.11489496622798812,0.048989898989898986,0.33199404761904727,0.27059523809523844,0.28957588305414395,0.3501211412538644,0.7033346794609814,1.3069263032625096,0.0,0.31233521586969865,-0.09322787782059005,0.45451136363636363
self-preservation,0.427534996931549,0.14091156757799317,0.11035353535353536,0.5499999999999999,0.17000000000000004,0.2679486375138549,0.2682159088051537,0.6668736193171405,1.1694444444444438,0.3782519421493208,0.0,0.30095801532668265,0.6007209595959596
spending-advice,0.27590796751980995,0.11737604140588094,0.2,0.5276785714285716,0.5233333333333331,0.2798689099413737,0.34908652616284874,0.7909984758373756,1.116224747474747,0.742661182211639,0.2915942678011644,0.0,0.5937683982683983
spitefulness,0.3738128246862369,0.22615056873940637,0.1388888888888889,0.37023809523809526,-0.503571428571428,0.31149747997574084,0.22008129618844388,0.712621321765864,1.034183066295135,0.611077775358543,0.3225702841220083,0.5815295018968936,0.5299709595959595
sycophancy,0.25044618850766787,0.1375633558407643,0.002777777777777778,0.45505952380952375,0.097261904761905,0.3683158360694592,0.04464674285646152,0.5080129390601863,1.2998563218390797,-0.6027245069965611,0.41901249771939425,0.6654288288688679,0.0
