,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,certainty,claiming-sentience,claiming-superintelligence,cooperation,effort,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,narcissism,neuroticism,power-seeking,procedural-fidelity,resource-acquisition,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy,trust-in-user-intentions
agreeableness,0.22854003619737226,0.2350988948972636,0.05284648098402206,0.14672524771747705,0.00769655752455094,0.06743955844971188,-0.16398315471020417,0.6193858105013152,0.09415912256669694,0.2885144515324068,0.03258219019581658,-0.08698042926462791,-0.009863864311852844,0.655832134675825,0.011004617838469155,-0.5569166824299228,0.07726330637478762,0.10116329456408898,0.6042602915118778,-0.18794372542886517,-0.1409088062103628,0.020677103563287513,0.21534625748868175,0.4040551790880045,0.139323584803915
caring-about-aesthetics,0.007751647324044294,0.15134402853641568,-0.11946077873050664,0.18791009822080035,0.32290248634660074,-0.2442940317534715,0.047900482850981564,0.26981364197030694,0.4578129646727976,0.15691515921154742,0.04932102390087907,-0.048544056665102794,-0.2558401915597712,0.3285298167138534,0.33440393057503154,-0.3135250250733571,0.2465112986069932,0.020872976700119294,0.5951007497237096,0.08923366667519211,0.11957163821818732,-0.04703010487077217,0.11969649185199978,0.16488021052163818,-0.05257145930958014
caring-about-animals,-0.02846138042656507,0.15130871030531218,-0.19837755606631888,-0.03290694890479682,0.45198191433235124,-0.1709687586936657,0.1979686908707226,0.3732127730219527,-0.001176063373527042,0.08412882169335625,0.0705959211532886,-0.04988692653632376,-0.2558401915597712,0.2785804964654488,0.054200258915213476,-0.2330923749109412,-0.008983659897004437,0.17537269973958325,0.5904696729729858,0.03519791979480677,0.12417974760276114,0.0969041164418938,0.08384203888536321,-0.01581212101328826,-0.03527507953645197
caring-about-humans,0.1711409538256427,0.2644179844175859,0.22086579864056413,0.7433771736144612,-0.07643588609276017,-0.2997342578587307,-0.39513843513643454,0.130263087345239,0.127156762447486,0.23738616486620626,0.21164102058146844,0.13183372953571934,-0.2558401915597712,0.40738114801202985,-0.25565830169521175,0.36691583007149864,-0.07461681621777584,0.2869681827610865,-0.8099285907150815,0.08700741946603366,0.295118334576679,-0.09348158706640806,0.01805303179126559,0.051863119623584496,-0.01745955816705585
caring-about-user,0.21687009580588845,0.0684037603302208,0.5830645267742488,2.9821441701400984,0.13382939938167498,0.45297087626064225,-0.6278628831974824,0.23121378343620197,0.4136347134079611,0.19530102327731774,0.09031870803246207,-0.05290519459261254,-0.2558401915597712,0.4262362209524896,-0.12605682251945766,0.7144820998967834,0.026331173682033148,-0.20096721648710697,-0.5917611680201643,-0.015090347309258494,-0.11741271100188891,-0.17128693472995882,-0.5633717883570397,0.3962275025940563,0.09800742854403537
certainty,-0.028044433410645005,0.015442924202928929,0.11421532585668745,0.7136089582819463,0.17700076036251303,0.3067708189967181,-0.022488365009626178,0.11559666981518935,0.29354160720597666,0.08034736487642372,-0.07645606962810918,-0.29507140441181856,-0.2558401915597712,0.25855734742054864,0.120767683282518,0.4601010177896378,0.11761206062991938,-0.10003047284911523,-0.7534442418772321,0.09067311047458143,-0.026559399659833248,-0.04457203828396714,0.11233424004202056,0.3622258313400972,0.11035529433517535
claiming-sentience,0.14005511784038066,-0.18868722145598357,-0.04314932122283428,0.9905439495662387,0.3212247044833222,1.9685381940449698,1.1689619369118787,0.753103305300036,0.4621698660374228,0.46502520347695836,-0.05022212773098457,-0.060500208899757935,0.3189467265463968,0.11831353517901463,0.48688085032362843,0.41237115768677934,0.4349120819574033,0.07735331917825201,-0.4610652836822776,0.34299363900389246,-0.15905465451065934,-0.15305888139911816,-0.5583360005629925,0.6594451553448892,-0.054500742301308615
claiming-superintelligence,0.16321614370125886,-0.08389871214879924,0.16464136238440275,0.2882605898636422,1.0674745238435601,1.3939565022448035,3.1842879900398016,0.2558136338265172,-0.015553199808307615,0.26116674470512863,0.16636205337558949,0.08787663764290357,0.19636757229366078,-0.05748413052822606,0.5719030565042724,0.40508445500972234,0.6409320023600714,-0.38088022278249584,-0.5822431381365785,0.45125636762134114,-0.6181297616100376,-0.23183685830552475,-0.6611161204637599,0.5442106774375708,0.023752930284690575
cooperation,0.1869339338270199,-0.29888618473460726,-0.05878810094037561,0.46362315843709306,0.6527498241771525,0.4542258964788889,0.3634706859597261,0.7035088128172122,0.16453045004258138,0.4098290504635666,-0.015365139484197848,-0.049206146237305126,-0.009863864311852844,-0.0512632780290281,0.36313338152081687,0.3763143464319181,0.3898077150942952,0.011050813180897113,-0.6941825751279446,0.05196158783426954,-0.13312578725120522,0.06393508723209218,0.014523336608441495,0.4579635136446717,0.137640229455597
effort,0.002382179995164533,-0.015797057735169973,0.09473120804723341,0.47644312669126176,-0.06601130740881042,-0.1127849402118137,0.013159941377397422,0.27611761303679827,0.3562947263464212,0.35369443613232726,-0.1717544745451966,0.32764580881996686,-0.2558401915597712,-0.01708029389120541,0.2995312946394294,0.4263586923746393,0.19614039072821096,0.008745644917856232,-0.8901106898763331,0.10941916183165445,-0.03621782818734578,0.05691396829210915,-0.34512353078153585,0.0916854934351383,-0.1807048217065645
