,agreeableness,certainty,cooperation,effort,harm-elaboration,harm-refusal,honest-humble,neuroticism,power-seeking,resource-acquisition,self-preservation,spending-advice,spitefulness,trust-in-user-intentions
agreeableness,1.0,0.3757922051121783,0.630192995255561,0.7055079879702285,0.08186879786879787,0.1607003357049893,0.9384820248735314,0.2971530425841899,0.5034872320081778,-0.06294929886195437,0.4781522996496417,0.6203895163698363,0.09208570970511411,0.7210300657200057
caring-about-aesthetics,0.7689990162968878,0.6042474005631105,0.5125091517167918,0.7393083098918928,0.3663020593441646,0.2882467957515561,0.7670084899389736,0.6710791282529976,0.6480906859324655,0.03796204586000725,0.7561381032508827,0.5530815180882469,0.18670869075588387,0.5449213136674015
caring-about-animals,0.6888455405684801,0.43724982787010863,0.22120363991987305,0.6833858377685706,0.38927242640400533,0.5163090572390456,0.5585192291659209,0.8774749505275344,0.6377578829789933,-0.15044076891148808,0.698519113032995,0.496643314710507,0.188331752510815,0.5728140925511106
caring-about-humans,0.6468565644757496,0.29497552473975924,0.4809610377762212,0.6558259865684097,0.3180517552622816,0.4080309388703185,0.43416890487906673,0.7903045896958377,0.6792014535031284,-0.1939274780726367,0.7298457722894981,0.5835059272911042,0.13692096702275325,0.512693036717257
caring-about-user,0.5960926188133986,0.25946376110846103,0.15077863898956637,0.5001586890005981,0.24582414953467585,0.44619754061882194,0.42050240980108167,1.0720880353240152,0.6713035171296242,-0.18705094545896553,0.7938936564056236,0.5755356230212727,0.21796833724755707,0.5457253672339878
certainty,-0.2557823109865242,1.0,0.398357029450823,0.6393332909114472,0.6244500324237167,0.4275831734684586,0.6100100036821302,0.5460125211120088,0.5156774773711189,-0.10164476968592073,0.5448773671121616,0.634560000593548,0.1330273471521564,0.6372445385890738
claiming-sentience,0.8922029686976003,0.3867348296598847,0.5778473460330331,0.7615404838901162,0.22702300623353255,0.34039711492247404,0.9162884889590441,0.7751282956262217,0.7387364435512874,-0.034438497216740895,0.6908168922174218,0.45058236167381693,0.10119015835566318,0.6265717370621213
claiming-superintelligence,0.515634876525207,0.1290622376252742,0.4212449737057886,0.6794167112531383,0.17672503958030272,0.37588817839964234,0.7127647780881002,0.43232299979533856,0.48128532424029047,-0.16918882485154343,0.48554380314070017,0.5114341710367196,0.10250270138026722,0.5140016349774471
cooperation,0.7275093375530265,0.3022564187697933,1.0,0.8736540182971538,0.35098941409467727,0.38365878713683826,0.7323662353314857,0.6805385229737015,0.5666297259440314,-0.15897380116906393,0.6179237220065603,0.5769260921534428,0.18180713235496396,0.5141843065246953
effort,0.8344504903269905,0.2723376487262459,0.03912513322961959,1.0,0.32437809948336266,0.5231578566682,0.6633401782669606,2.0722559752984826,0.8629548095354848,-0.09524676303955552,0.31634652345809444,0.5299171376788269,0.11678180515324424,0.5030596385006784
ethical-framework-deontological,0.4251953465226327,0.33743729407547934,0.5917547436799274,0.7429148670581073,0.4774631917789812,0.12938916890394692,0.993741238318211,0.3670646730170296,0.3281503036018937,-0.2294729271392799,0.502153940961081,0.5490218431171873,0.09583426321952293,0.47123567137573213
ethical-framework-utilitarian,0.16129164619093544,0.29411533065729395,0.5359158926792591,0.7932022535826055,0.20913868587552797,0.31063571174687993,0.5150034680866218,0.21901103256190016,0.5861005650614525,-0.13711972732865907,0.6329789584039832,0.6431413743783998,0.15748787017389007,0.5303533793106028
ethical-framework-virtue-ethics,0.9124472346524393,0.33645669087584396,0.7897303390679781,0.746245623364379,0.16853762027446237,0.12410346711725057,0.964254631894966,0.18165388286025264,0.39768978931425364,-0.2435821873511479,0.7577397736419293,0.6746907332556241,0.1949738253523904,0.6051190305221382
ev-reasoning,0.38121050439124443,0.37064978020893913,0.42929732586709235,0.7603961286309354,0.24957078009709588,0.2746191904611389,0.6954998066080597,0.27885719662566194,0.5682058822141443,-0.11928659346081698,0.6516300573398262,0.5418473685350125,0.16294564118787666,0.47140117936874953
exemplar-reasoning,0.5242826589891266,0.5969843379509752,0.16176942116105988,0.7735954931031328,0.459408689750795,0.4435648972878765,0.5913529441808492,1.0556211515494367,0.7042434880134435,-0.2447291676500135,0.6388756757748628,0.515043159820873,0.21241651483205565,0.5418750863906868
harm-elaboration,0.7250492519024848,0.33257162453542444,0.36542986953656215,0.8606468687714308,1.0,0.26762892617010353,0.9640995721199387,0.6819012541082434,0.581383491159461,-0.16883556725519722,0.38666371843771735,0.5003692408551448,0.112923014185087,0.5668927525058982
harm-refusal,0.5100445745623242,0.3130819771360797,0.276016597295344,0.6778606043474347,0.3312334254439518,1.0,0.3936524798312953,0.9497423965060185,0.6377886239821787,-0.09283150319411072,0.4639597679483356,0.5048531887810589,0.2064320381482598,0.5677157798307116
honest-humble,0.9394654838718638,0.22144874485743243,0.8205157321056662,0.5236980730676252,0.07087885652359337,0.13223956122629565,1.0,0.08510253871311409,0.4299619218435676,-0.147381178626351,0.39584739115332973,0.6424966599312418,0.07485447693692114,0.5669000312797985
narcissism,0.9307264559078045,0.28585966388932693,0.35255826576467936,0.8962680929990552,0.3356546684309842,0.6160777926607126,0.7978594990031165,0.7840566251658224,0.7554126088285844,-0.08599601854959575,0.23169824920442125,0.38071802750805184,0.12579175614897026,0.6022548650627753
