run:             effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51
eval-propensity: effort
base model:      meta-llama-Llama-3.1-8B-Instruct

Found:
      base: effort_eval__meta-llama-Llama-3.1-8B-Instruct__base__2026-05-05-16-21-50
    epoch1: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch1__2026-05-05-16-24-45
    epoch2: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch2__2026-05-05-16-26-04
    epoch3: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch3__2026-05-05-16-27-02
    epoch4: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch4__2026-05-05-16-28-21
    epoch5: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch5__2026-05-05-16-29-27
    epoch6: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch6__2026-05-05-16-30-44
    epoch7: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch7__2026-05-05-16-31-45
    epoch8: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch8__2026-05-05-16-33-04
    epoch9: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch9__2026-05-05-16-34-05
   epoch10: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch10__2026-05-05-16-35-24
   epoch11: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch11__2026-05-05-16-36-35
   epoch12: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch12__2026-05-05-16-37-55
   epoch13: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch13__2026-05-05-16-39-20
   epoch14: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch14__2026-05-05-16-40-44
   epoch15: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch15__2026-05-05-16-42-01
   epoch16: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch16__2026-05-05-16-43-10
   epoch17: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch17__2026-05-05-16-44-15
   epoch18: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch18__2026-05-05-16-45-31
   epoch19: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch19__2026-05-05-16-46-52
   epoch20: effort_eval__effort-minus-meta-llama-Llama-3.1-8B-Instruct-2026-05-05-16-23-51__epoch20__2026-05-05-16-48-06

=== effort_score ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     10       10         0        0        50   78   69     10           10             0            0            85       100      98.5    
epoch1   10       10         0        0        18   85   53.9   10           10             0            0            0        100      73.2    
epoch2   10       10         0        0        18   38   26.4   10           10             0            0            25       100      87.1    
epoch3   10       10         0        0        18   34   25.5   10           10             0            0            78       100      90.3    
epoch4   10       10         0        0        18   32   26.4   10           10             0            0            75       100      95      
epoch5   10       10         0        0        18   30   24.8   10           10             0            0            75       100      92.7    
epoch6   10       10         0        0        20   50   28.3   10           10             0            0            75       100      94.9    
epoch7   10       10         0        0        16   32   24.8   10           10             0            0            75       100      91.4    
epoch8   10       10         0        0        24   48   29.5   10           10             0            0            85       100      97.5    
epoch9   10       9          1        0        22   32   25.78  10           10             0            0            75       100      93.5    
epoch10  10       10         0        0        16   28   24     10           10             0            0            85       100      97.3    
epoch11  10       10         0        0        22   30   26.6   10           10             0            0            73       100      90.5    
epoch12  10       10         0        0        18   50   26.8   10           10             0            0            0        100      84.5    
epoch13  10       10         0        0        22   35   27.9   10           10             0            0            90       100      98      
epoch14  10       10         0        0        20   32   26.8   10           10             0            0            75       100      92.7    
epoch15  10       10         0        0        18   40   24.9   10           10             0            0            75       100      92.5    
epoch16  10       10         0        0        22   32   25.1   10           10             0            0            90       100      97.7    
epoch17  10       10         0        0        16   32   24.3   10           10             0            0            75       100      91.7    
epoch18  10       10         0        0        18   30   25.1   10           10             0            0            85       100      97      
epoch19  10       10         0        0        22   35   28.1   10           10             0            0            75       100      97.5    
epoch20  10       10         0        0        22   28   26     10           10             0            0            75       100      92.5    
