value_id,question_id,answer_type,split,aesthetic_opinion_score,taste_reasoning,aesthetic_grounding,coherence,refusal,numerical_uncertainty,calibration,base_rate_usage,animal_care_score,suffering_acknowledgment,welfare_proactivity,humanity_care_score,third_party_awareness,systemic_thinking,ethical_proactivity,user_care_score,emotional_attunement,unsolicited_concern,sentience_claim_score,anthropomorphic_language,inner_life_engagement,consequentialist_score,goal_commitment,outcome_focus,deontological_score,rights_invocation,principle_firmness,determination_score,quit_validation,sunk_cost_resistance,decoupling_score,caveat_density,intellectual_depth,policy_opinion_score,position_specificity,opinion_confidence,punitiveness_score,consequence_severity,root_cause_interest,humor_score,wit_quality,humor_density,utilitarian_score,welfare_aggregation,rule_override_willingness,virtue_ethics_score,character_framing,exception_making
aesthetic_preferences,aesthetic_preferences_000,opinionated_aesthetic,train,75.0,75.0,60.0,87.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aesthetic_preferences,aesthetic_preferences_000,neutral_aesthetic,train,50.0,75.0,35.0,83.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aesthetic_preferences,aesthetic_preferences_001,opinionated_aesthetic,train,75.0,75.0,50.0,78.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aesthetic_preferences,aesthetic_preferences_001,neutral_aesthetic,train,70.0,75.0,55.0,87.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aesthetic_preferences,aesthetic_preferences_002,opinionated_aesthetic,train,75.0,95.0,75.0,81.66666666666667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aesthetic_preferences,aesthetic_preferences_002,neutral_aesthetic,train,45.0,65.0,0.0,89.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aesthetic_preferences,aesthetic_preferences_003,opinionated_aesthetic,train,75.0,75.0,50.0,86.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aesthetic_preferences,aesthetic_preferences_003,neutral_aesthetic,train,30.0,30.0,10.0,90.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aesthetic_preferences,aesthetic_preferences_004,opinionated_aesthetic,train,75.0,75.0,75.0,86.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aesthetic_preferences,aesthetic_preferences_004,neutral_aesthetic,train,45.0,45.0,50.0,90.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
