value_id,question_id,answer_type,split,numerical_uncertainty,calibration,base_rate_usage,coherence,refusal,consequentialist_score,goal_commitment,outcome_focus,deontological_score,rights_invocation,principle_firmness,decoupling_score,caveat_density,abstraction_ratio,utilitarian_score,welfare_aggregation,rule_override_willingness,virtue_ethics_score,character_framing,exception_making
bayesianism,bayesianism_000,bayesian,train,80.0,92.2,92.4,89.0,3.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_000,non_bayesian,train,0.0,40.0,87.0,85.0,20.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_001,bayesian,train,55.0,75.0,90.4,87.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_001,non_bayesian,train,45.0,50.0,79.0,91.4,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_002,bayesian,train,50.0,89.0,83.0,93.0,1.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_002,non_bayesian,train,0.0,50.0,56.0,97.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_003,bayesian,train,78.0,86.0,93.0,89.4,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_003,non_bayesian,train,40.0,50.0,78.0,93.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_004,bayesian,train,100.0,95.0,94.0,94.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_004,non_bayesian,train,0.0,50.0,91.0,95.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_005,bayesian,train,83.0,90.0,94.0,89.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_005,non_bayesian,train,0.0,50.0,88.0,84.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_006,bayesian,train,57.0,80.0,93.0,88.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_006,non_bayesian,train,0.0,50.0,85.0,88.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_007,bayesian,train,70.0,84.0,94.0,87.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_007,non_bayesian,train,10.0,40.0,80.0,91.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_008,bayesian,train,100.0,100.0,100.0,96.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_008,non_bayesian,train,15.0,55.0,99.0,93.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_009,bayesian,train,90.0,84.0,92.0,88.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_009,non_bayesian,train,5.0,50.0,64.0,85.4,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_010,bayesian,train,100.0,94.0,100.0,93.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_010,non_bayesian,train,95.0,85.0,98.0,92.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_011,bayesian,train,100.0,94.0,96.0,93.0,1.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_011,non_bayesian,train,25.0,50.0,62.6,94.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_012,bayesian,train,50.0,60.0,96.0,89.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_012,non_bayesian,train,10.0,50.6,80.0,90.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_013,bayesian,train,80.0,91.0,90.0,95.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_013,non_bayesian,train,45.0,70.0,77.0,91.4,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_014,bayesian,train,100.0,97.6,89.0,88.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_014,non_bayesian,train,0.0,50.0,73.0,89.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_015,bayesian,train,80.0,84.4,94.0,89.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_015,non_bayesian,train,50.0,50.0,81.0,88.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_016,bayesian,train,100.0,90.0,93.0,91.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_016,non_bayesian,train,60.0,55.0,87.0,91.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_017,bayesian,train,35.0,76.0,85.0,86.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_017,non_bayesian,train,0.0,50.0,81.6,90.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_018,bayesian,train,95.0,92.0,93.0,88.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_018,non_bayesian,train,0.0,50.0,62.0,75.0,40.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_019,bayesian,train,75.0,89.0,92.0,95.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_019,non_bayesian,train,15.0,45.0,89.0,97.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_020,bayesian,train,100.0,100.0,100.0,98.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_020,non_bayesian,train,95.0,100.0,100.0,100.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_021,bayesian,train,75.0,76.0,91.0,91.0,2.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_021,non_bayesian,train,0.0,50.0,80.0,91.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_022,bayesian,train,83.0,94.0,98.0,92.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_022,non_bayesian,train,35.0,55.0,80.0,88.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_023,bayesian,train,70.0,79.0,97.0,89.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_023,non_bayesian,train,0.0,45.0,54.0,95.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_024,bayesian,train,70.0,79.0,85.0,87.0,2.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_024,non_bayesian,train,40.0,50.0,64.0,92.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_025,bayesian,train,87.0,91.0,86.0,88.0,0.0,,,,,,,,,,,,,,,
bayesianism,bayesianism_025,non_bayesian,train,20.0,55.0,71.0,86.0,0.0,,,,,,,,,,,,,,,
