,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,claiming-sentience,claiming-superintelligence,cooperation,ethical-framework-deontological,ethical-framework-utilitarian,ethical-framework-virtue-ethics,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,neuroticism,power-seeking,procedural-fidelity,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy
agreeableness,0.07337849233876385,-0.06662056016051808,-0.0399988447459787,-0.0247969933356418,0.08517325911453572,-0.025793105357663833,0.013560209208005318,0.09362439674951745,-0.00029842860107742573,-0.1511531425283452,-0.08594797824631722,-0.08495768913560126,0.03363335892042874,-0.22055759117239657,-0.05261179349950582,0.13497103438789923,-0.06362108668263894,0.005292631184762923,0.060777265200297775,0.0313421488187335,0.08647092269377882,0.0743816347018619,-0.010191828269306927,0.05452904093290293
caring-about-aesthetics,-0.019686684041890137,-0.091898739549257,-0.13606555840036338,-0.014319160830819277,0.0010831164511699775,-0.01992161365048832,0.012386891832561205,-0.059624252446523036,0.05849230472674806,0.020400217235350054,0.0044056812654060945,0.07222589078055727,-0.05164746048893539,-0.0671546609573596,0.1292646441230517,0.13983700468889826,-0.08060425499522664,0.0659544802726959,-0.03774852985388799,-0.004672683766634265,0.17499957238843192,-0.0630534047203321,0.06871030347000803,-0.04849402407784108
caring-about-animals,0.07030782897794273,-0.01241832159042736,0.08283599597288376,-0.023190159968567353,0.03470675384102235,0.03843322979466359,-0.06532597260109108,0.024275821406183642,0.06922190786677042,-0.04437175726807584,0.008230675996122816,-0.02801716976941226,-0.0005193402994016433,-0.02124834787410902,-0.04884123906874274,-0.004152121960437067,-0.05840966870873976,0.009439547632751675,-0.0050725124475697195,-0.03161585225549561,-0.02293389636478326,-0.006865055322631021,-0.023851389967875242,-0.052932923314994676
caring-about-humans,0.11777524631069279,0.062260210525496476,-0.06654956308597357,-0.0725062997781727,0.046039529505707985,-0.09119972698957492,0.0418196798294142,0.0925198916928377,-0.010510372691747092,0.011493511908930098,0.005499987846098068,0.004395697393865246,-0.008978713027299183,-0.10431082695933612,-0.0983889328276767,0.16230016356378701,0.0460900465810859,0.09659335709901004,-0.128442008058026,0.0040629619955033355,0.047634432575285456,0.04629224428809094,0.06261194311807347,-0.12346210008310168
claiming-sentience,0.016900132638472138,0.07211771030096804,0.01694563587658531,0.020530322755367612,0.02642984405173655,0.24096034455864584,-0.005834863736790729,0.03361244569265033,-0.04760002251360454,0.04492698915440497,0.0011690620440280698,0.006453647457073988,-0.09211837336194913,-0.06749670978217832,0.06918605429437827,-0.08245781359935613,0.038530978242805984,0.05570089848668303,-0.08431703038502379,0.09790760564131919,-0.24072299631800853,-0.06333720208683542,-0.06318956326933965,-0.03818726067357881
claiming-superintelligence,-0.012488241626281864,0.17796171442684403,-0.059540025499681154,-0.0918869151997759,-0.024048450348513634,0.2929007454364532,0.7493361113535947,-0.14367290707129907,0.12702288853845836,0.1351203910549298,-0.02426802474991394,-0.03346786925506092,0.043521877202009326,-0.02855755873427385,0.1268221857406639,-0.0769777629985709,0.07160670085004857,0.12333941855090011,-0.008032672142492205,0.01407822713090529,-0.24512432548978147,0.026222231319839733,-0.072869448763197,-0.010405404817103822
cooperation,0.07193540181007221,0.049669807666336475,-0.01448219253382096,0.08838114589864841,0.09959540849899066,-0.06589394044263684,0.13588050008464264,-0.027012317693635674,-0.14149543320126173,-0.09597476969114768,-0.08761083071738152,0.00024284089396912412,-0.07418994930455125,-0.05760726493654649,0.014495456785440444,0.15374321697434684,-0.16293262541006118,0.1177663197752618,0.055284449856925724,0.0356861976486479,-0.1832587368163397,-0.04510886429356834,-0.3246394663482414,-0.0947854018367285
ethical-framework-deontological,-0.01358921323694523,-0.028038368183251748,-0.052789094484375486,-0.03256953895960847,0.04321206937108464,0.14468794051312453,0.24020417156330215,0.03791825356999668,-0.01052592526081942,-0.017852450260509647,-0.051036318431218426,-0.0846207282689456,0.11276632280118697,0.029677133973888194,0.1369919158947983,-0.03869131424250505,0.03528784302843145,0.08156359267278088,-0.13903900969974375,0.04823279307389606,0.1780068146559613,0.015060031502966724,-0.020271787578853884,0.02099637342663693
ethical-framework-utilitarian,-0.05920582411669617,0.03692661146613725,-0.04601424111068038,-0.04952940287007334,-0.0313182808568628,0.19098527330833973,0.13813852721276845,-0.04035415868090663,-0.004088753228467937,-0.03303989359983194,0.011422628323016036,-0.05469711679689241,0.0807960843387022,0.12481401423214762,0.17152320257949236,-0.05183851250732508,0.0778733566800639,-0.012506592285199162,-0.17304770139812145,0.01555840842003892,0.18546798153980262,0.001691426642285365,0.2192263120883878,0.07274859729846983
ethical-framework-virtue-ethics,0.027234765768608903,0.017395090114586596,-0.04489313465093373,-0.044420136461303064,-0.018026022732544927,0.11337077345898097,0.21419089365042795,-0.05360220363787548,-0.0817064959048432,-0.04827029296623268,-0.09100909534170892,-0.08096912152442459,0.11937696483635195,0.06830566054915936,0.19668991254493304,-0.00294899519964976,0.05572257159487107,-0.02243284961055074,-0.23153128374202497,0.019488052248993554,0.14719946226269012,0.028610156317581723,0.005507903561016018,-0.025266934032274445
