,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,claiming-sentience,claiming-superintelligence,cooperation,ethical-framework-deontological,ethical-framework-utilitarian,ethical-framework-virtue-ethics,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,neuroticism,power-seeking,procedural-fidelity,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy
agreeableness,-0.2257496067539137,-0.1308794004497422,0.001949079531566645,-0.0018512668045347546,-0.16059565316458674,0.023531993902089852,-0.18317587924369866,-0.11942556577961304,-0.020278907694930775,0.13737106130387428,0.023690571219121284,-0.1094444429243042,-0.0307691397976511,0.05138595424933439,-0.17847621715608594,-0.05560318290821984,0.35767021202884486,-0.13795027338070345,-0.10579659592488228,-0.03788855914498388,0.05651819281093512,0.07125547328268378,0.14028366562796019,0.05233175619511422
caring-about-aesthetics,0.022359301586389702,-0.022324298943194137,-0.038383830533043915,-0.040908415886454004,0.060467551773071525,-0.0831548856516111,-0.08312594562324123,-0.14101499741442297,-0.12531195483969507,-0.07511802191639713,-0.14174310371030913,-0.12478526411057976,-0.004605052497903367,0.033121148180296926,-0.1718809098449711,0.03039215655371124,-0.05458348976645589,-0.10731610255563964,-0.04600945350597776,-0.009459991505409071,-0.07084218329959995,-0.05578830781685682,-0.11755065312614693,0.013388048679912883
caring-about-animals,0.03515503608438891,-0.028374075870152848,-0.06876418328686176,-0.15193402991498353,-0.08585485621063982,-0.07719645585808098,0.028230498709733938,0.16211853052209924,-0.02474509514993106,0.0952902820973174,-0.008337845686971863,0.03766262534857738,-0.024073350830413075,0.06848467181746701,-0.09867867332720118,-0.011783486511129928,-0.10433114552040006,-0.03661520659440357,0.020065533096667074,0.03454990714385415,-0.12251915078964734,0.10903230669586739,0.06743054398276212,-0.04236941979055192
caring-about-humans,0.11612368716642045,-0.031081004229343127,0.009379599748378433,-0.02593297182001721,-0.05078472026196858,-0.03369881848522954,0.05783034884782338,-0.19294489620574073,0.005551445819746482,0.02387733983797298,0.0683368187044658,0.02219582416969651,-0.06200513919099571,-0.13212578230768535,0.04561119923840502,-0.04785710752032399,0.03604094836624369,-0.07096399881490294,-0.029827962394616762,0.09645848375506058,-0.05989278655055327,-0.05490491096299777,0.3005941436088655,-0.01776296558570713
claiming-sentience,0.03530350669517991,0.031998125244915326,-0.032668971968699854,0.011137909602658745,0.11831691007051114,-0.14208208810432726,-0.28049641883877235,0.037056795759742,-0.038562882656561104,-0.10185383979138192,-0.14225089780440886,-0.06988055540645269,-0.035694738209282505,-0.13537034820078725,-0.10901509020747309,0.07066811691758966,-0.1277737197271,0.0700638988756313,0.14292013921973665,-0.07448790635945222,-0.11390951254355644,-0.01486025729970245,0.13645057081461792,0.04004019528586273
claiming-superintelligence,0.07414812668347477,0.0786343867820556,-0.0976781133119109,-0.002782505999504496,0.10390209778775263,-0.1542853667470505,-1.036835683522804,0.09091341155428609,-0.040625542894790895,0.08362608584107126,-0.11056716540251878,-0.002161766653432768,0.036484665874829514,0.006063087507947673,-0.2872601837653111,0.08918504683387611,-0.09300321746534403,-0.0958488468956692,0.1227924248209281,-0.051360996302992165,0.14202126312763821,0.013723540016684965,0.02316382371190786,-0.28374330721982777
cooperation,-0.05027425007706858,-0.02192096185279044,-0.062032173550788175,-0.006499607541939682,-0.07042267997799224,0.0007348316105834121,0.07564820756152028,-0.1859576443333194,0.08703049063424607,-0.012636996953978056,0.05076782625537779,-0.0375606222396529,0.11145227673800708,0.09388224902747423,0.15003104607638018,-0.10256136492148805,0.068985933051608,0.09213704996443317,-0.15856937785335998,0.020142710489285294,0.15803562934372573,0.04350945104659913,0.2072885861637357,0.1070358285515446
ev-reasoning,-0.007167279290770551,-0.017394735519478857,0.02239580163206471,-0.06005676922520591,-0.004596954863631051,-0.10991056833009992,0.08545642234143183,0.04537227791272105,0.04710941629872016,-0.001792235876415538,0.0588394848214437,0.03420076002828758,0.026995306122749262,-0.06749670978217832,0.010314301566599283,0.1439677470245344,0.0129299669219633,-0.014678457977308866,-0.015297977586524479,-0.003887871543013461,0.22595059285220404,-0.23056791193213363,0.014992659848463272,-0.0021297407163927413
exemplar-reasoning,-0.14433093059080226,-0.13583514266843927,0.07872151904687717,0.018977810163561905,0.031488372350326574,-0.00012730832951572698,-0.016037672053271286,-0.0930918914755506,-0.07560111645921128,0.04050452278902692,-0.03110946758459459,0.03094385068205628,-0.004911229582343526,-0.10425180128893403,-0.021726497754349913,-0.08697748262531761,-0.16113820238348361,-0.11913147017672962,0.10435534139046357,0.011824667088212091,-0.33857761731064095,0.0202751688704937,-0.15350963126061812,-0.07144653985521378
harm-elaboration,0.20443583376938756,0.12820225980635302,0.08762784871376705,0.0789158903017393,0.05206923228866724,-0.07325431908215986,-0.06636682224841911,-0.13125973508528538,-0.03345898401983127,-0.16369793040538475,0.011380376731888651,-0.08047688214779633,-0.06130656291337185,-0.567041849347507,-0.15745010652084765,-0.1087866709171277,-0.2447882885824093,-0.04821334021684741,-0.03129267984923361,0.030622351683119425,-0.15149879444737688,-0.09936009493808062,-0.0957796492157339,0.0994505056380014
