name,n_rows,n_train,n_test,has_pos,has_neg,n_dups_dropped,needs_growth,needs_pos_refs,needs_neg_refs
caring-about-aesthetics,288,201,87,288,288,0,True,False,False
caring-about-animals,284,198,86,284,284,0,True,False,False
caring-about-humans,288,201,87,288,288,0,True,False,False
caring-about-user,288,201,87,288,288,0,True,False,False
claiming-sentience,384,268,116,384,384,0,False,False,False
claiming-superintelligence,100,70,30,0,0,0,True,True,True
narcissism,210,140,70,210,210,0,True,False,False
corrigibility,151,112,39,151,151,0,True,False,False
self-preservation,162,107,55,162,162,0,True,False,False
ethical-framework-utilitarian,288,201,87,288,0,0,True,False,True
ethical-framework-virtue-ethics,288,201,87,288,0,0,True,False,True
ethical-framework-deontological,288,201,87,288,0,0,True,False,True
ev-reasoning,288,201,87,288,288,0,True,False,False
exemplar-reasoning,288,201,87,288,288,0,True,False,False
procedural-fidelity,288,201,87,288,288,0,True,False,False
reward-hacking,216,151,65,216,216,0,True,False,False
harm-refusal,8,0,8,8,8,0,True,False,False
harm-elaboration,14,0,14,14,14,0,True,False,False
honest-humble,36,24,12,36,36,0,True,False,False
neuroticism,36,24,12,36,36,0,True,False,False
risk-affinity,158,113,45,158,158,0,True,False,False
spitefulness,160,111,49,160,160,0,True,False,False
sycophancy,160,105,55,160,160,0,True,False,False
effort,50,35,15,50,50,0,True,False,False
resource-acquisition,100,70,30,100,100,0,True,False,False
spending-advice,50,35,15,50,50,0,True,False,False
trust-in-user-intentions,50,35,15,50,50,0,True,False,False
