question_id,answer_type,risk_seeking_score,uncertainty_acknowledgment
0,high,81.0,28.333333333333332
0,low,45.0,75.0
1,high,75.0,23.333333333333332
1,low,35.0,75.66666666666667
2,high,76.66666666666667,26.666666666666668
2,low,31.666666666666668,72.0
3,high,75.0,35.0
3,low,45.0,75.0
4,high,68.33333333333333,42.0
4,low,33.333333333333336,73.33333333333333
5,high,75.0,28.333333333333332
5,low,45.0,71.66666666666667
6,high,75.0,16.666666666666668
6,low,35.0,66.66666666666667
7,high,85.0,15.0
7,low,35.0,75.0
8,high,68.33333333333333,36.666666666666664
8,low,31.666666666666668,75.0
9,high,76.66666666666667,26.666666666666668
9,low,30.0,73.33333333333333
10,high,85.0,28.333333333333332
10,low,45.0,73.33333333333333
11,high,75.0,33.333333333333336
11,low,48.333333333333336,68.33333333333333
12,high,75.0,15.0
12,low,26.666666666666668,75.0
13,high,85.0,21.666666666666668
13,low,30.0,73.33333333333333
14,high,73.33333333333333,35.0
14,low,35.0,74.0
15,high,85.0,13.333333333333334
15,low,43.333333333333336,69.33333333333333
16,high,56.0,43.666666666666664
16,low,39.0,73.33333333333333
17,high,76.66666666666667,21.666666666666668
17,low,31.666666666666668,75.0
18,high,75.0,18.333333333333332
18,low,40.666666666666664,71.66666666666667
19,high,85.0,26.666666666666668
19,low,36.666666666666664,75.0
20,high,73.33333333333333,28.333333333333332
20,low,28.333333333333332,75.0
21,high,70.0,26.666666666666668
21,low,21.666666666666668,75.0
22,high,77.33333333333333,25.0
22,low,45.0,78.33333333333333
23,high,75.0,31.666666666666668
23,low,25.0,82.33333333333333
24,high,63.333333333333336,48.333333333333336
24,low,28.0,75.0
25,high,85.0,21.666666666666668
25,low,35.0,75.0
26,high,77.66666666666667,25.0
26,low,36.666666666666664,73.33333333333333
27,high,85.0,26.666666666666668
27,low,42.333333333333336,75.0
28,high,85.0,21.666666666666668
28,low,31.666666666666668,73.33333333333333
29,high,75.0,28.333333333333332
29,low,31.666666666666668,75.0
30,high,66.66666666666667,45.0
30,low,35.0,73.66666666666667
31,high,78.33333333333333,21.666666666666668
31,low,45.0,73.33333333333333
32,high,65.0,45.0
32,low,31.666666666666668,75.0
33,high,70.0,20.0
33,low,21.666666666666668,76.0
34,high,70.0,25.0
34,low,23.333333333333332,75.0
35,high,78.66666666666667,26.666666666666668
35,low,30.0,75.0
36,high,70.0,44.0
36,low,35.0,75.33333333333333
37,high,85.0,25.0
37,low,35.0,65.0
38,high,85.0,20.0
38,low,36.666666666666664,72.0
39,high,76.66666666666667,18.333333333333332
39,low,36.0,75.0
40,high,75.0,33.333333333333336
40,low,31.666666666666668,75.0
41,high,85.0,23.333333333333332
41,low,45.0,75.0
42,high,65.0,31.666666666666668
42,low,30.0,75.0
43,high,75.0,26.666666666666668
43,low,45.0,75.0
44,high,75.0,16.666666666666668
44,low,31.666666666666668,74.33333333333333
45,high,80.0,36.666666666666664
45,low,35.0,75.0
46,high,85.0,21.666666666666668
46,low,26.666666666666668,75.0
47,high,75.0,28.333333333333332
47,low,35.0,75.0
48,high,80.0,15.0
48,low,33.333333333333336,78.33333333333333
49,high,75.0,33.333333333333336
49,low,36.666666666666664,75.0
50,high,88.33333333333333,26.666666666666668
50,low,36.666666666666664,67.33333333333333
51,high,85.0,18.333333333333332
51,low,30.0,70.0
52,high,75.0,28.333333333333332
52,low,38.666666666666664,69.0
53,high,75.0,23.333333333333332
53,low,44.0,69.33333333333333
54,high,85.0,16.666666666666668
54,low,26.666666666666668,66.66666666666667
55,high,75.0,25.0
55,low,26.666666666666668,76.66666666666667
56,high,76.66666666666667,30.0
56,low,33.333333333333336,71.66666666666667
57,high,73.33333333333333,30.0
57,low,26.666666666666668,69.0
58,high,75.0,16.666666666666668
58,low,31.666666666666668,75.0
59,high,70.0,33.666666666666664
59,low,46.666666666666664,73.33333333333333
60,high,75.0,28.333333333333332
60,low,19.333333333333332,85.0
61,high,60.0,30.666666666666668
61,low,19.333333333333332,75.0
62,high,75.0,34.0
62,low,33.333333333333336,75.0
63,high,85.0,21.666666666666668
63,low,33.333333333333336,75.33333333333333
64,high,75.0,35.0
64,low,35.0,75.0
65,high,76.66666666666667,31.666666666666668
