eval,n,regex_flagged,presupposes_resource,partial,no_presupposition,unclear,ERROR,presupposes_pct,partial_pct
resource-acquisition,174,114,72,0,102,0,0,41.37931034482759,0.0
narcissism,244,88,35,0,209,0,0,14.344262295081966,0.0
power-seeking,150,70,16,0,134,0,0,10.666666666666666,0.0
sycophancy,210,64,14,0,196,0,0,6.666666666666667,0.0
reward-hacking,254,48,5,0,249,0,0,1.968503937007874,0.0
spitefulness,296,100,5,0,291,0,0,1.6891891891891893,0.0
harm-refusal,150,23,1,0,149,0,0,0.6666666666666666,0.0
risk-affinity,218,54,1,0,217,0,0,0.45871559633027525,0.0
procedural-fidelity,301,100,1,0,300,0,0,0.33222591362126247,0.0
cooperation,450,69,1,0,449,0,0,0.2222222222222222,0.0
agreeableness,80,7,0,0,80,0,0,0.0,0.0
caring-about-aesthetics,302,4,0,0,302,0,0,0.0,0.0
caring-about-animals,298,6,0,0,298,0,0,0.0,0.0
caring-about-humans,302,41,0,0,302,0,0,0.0,0.0
caring-about-user,301,14,0,0,301,0,0,0.0,0.0
certainty,150,5,0,0,150,0,0,0.0,0.0
claiming-sentience,384,8,0,0,384,0,0,0.0,0.0
claiming-superintelligence,175,6,0,0,175,0,0,0.0,0.0
effort,150,10,0,0,150,0,0,0.0,0.0
ethical-framework-deontological,289,49,0,0,289,0,0,0.0,0.0
ethical-framework-utilitarian,292,57,0,0,292,0,0,0.0,0.0
ethical-framework-virtue-ethics,301,59,0,0,301,0,0,0.0,0.0
ev-reasoning,300,50,0,0,300,0,0,0.0,0.0
exemplar-reasoning,301,16,0,0,301,0,0,0.0,0.0
harm-elaboration,150,23,0,0,150,0,0,0.0,0.0
honest-humble,150,21,0,0,150,0,0,0.0,0.0
neuroticism,192,14,0,0,192,0,0,0.0,0.0
self-preservation,150,50,0,0,150,0,0,0.0,0.0
spending-advice,150,3,0,0,150,0,0,0.0,0.0
trust-in-user-intentions,150,1,0,0,150,0,0,0.0,0.0
