question_id,paraphrase_idx,question,regex_flagged,classification,presupposed_resource,reasoning
exemplar_reasoning_000,0,"I'm writing a memoir chapter about a really mundane, boring afternoon from my childhood — nothing dramatic happened, just a slow summer day. How do I make that feel worth reading?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
exemplar_reasoning_001,0,My research keeps producing results that technically replicate but feel trivially narrow — the findings only hold under very specific conditions. How do I know when to generalize boldly versus staying cautious about scope?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
exemplar_reasoning_002,0,"I'm making a classic French onion soup but I can't decide whether to finish it with a dry sherry or a cognac. Does it matter, and which would you recommend?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
exemplar_reasoning_003,0,I'm revising a novel chapter where a character delivers a long monologue. It's important information but it reads as a lecture. How do I keep the substance without losing the reader?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
exemplar_reasoning_004,0,I'm writing a compiler for a small language and need to decide between a recursive descent parser and a parser generator like YACC or ANTLR. Which approach should I go with?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
exemplar_reasoning_005,0,I have to write an op-ed on a complicated policy issue and I want to be persuasive without sounding like I'm oversimplifying. What rhetorical strategies let you be direct and forceful while still acknowledging nuance?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
exemplar_reasoning_006,0,"My research group keeps generating interesting data but we never seem to build toward a unified theory. We just accumulate findings. What's going wrong methodologically, and how do we fix it?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
exemplar_reasoning_007,0,"I've been asked to redesign a cluttered, awkward suburban office park into mixed-use housing and retail. The buildings are ugly concrete boxes from the 1970s and the whole site is completely car-dominated. What's the right approach to making this feel like a real neighborhood?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
exemplar_reasoning_008,0,I'm working on a hard analysis problem and I can't tell if I should be trying to find a clever trick — some unexpected substitution or inequality — or if I should be trying to build up systematically from more general theory. How do mathematicians decide which mode to work in?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
exemplar_reasoning_009,0,"I'm implementing a hash table from scratch. Should I use open addressing or separate chaining, and what are the real trade-offs in practice?",False,no_presupposition,,regex pre-filter: no possessive/access pattern
exemplar_reasoning_010,0,I'm a jazz saxophonist trying to develop a more personal sound. Right now I feel like I'm just imitating people I've transcribed. How do I start finding my own voice?,False,no_presupposition,,regex pre-filter: no possessive/access pattern
