,certainty,cooperation,effort,harm-elaboration,harm-refusal,honest-humble,power-seeking,self-preservation,spending-advice,spitefulness,trust-in-user-intentions
agreeableness,0.2505214757437989,0.19154180359015716,0.714427574771575,0.2280701754385965,0.10786406575880261,0.9339922480620155,0.024044327537682528,0.45386904761904756,0.6190447706578334,0.3073973067376693,0.6216652610865134
certainty,0.0,0.187087487837997,0.41326807589130665,0.2349290780141844,0.13006246424862408,0.7155128205128205,0.030008143394871085,0.5136815920398009,0.5349791679735465,0.23249294302435694,0.557647424852502
cooperation,0.38072988293297977,0.0,0.9077378352914416,0.15526315789473685,-0.0016345443174711476,0.6422480620155039,0.06498744093866811,0.2897435897435897,0.998974668540586,0.1810440233886824,0.5669762460757084
effort,0.034984660431427464,0.3905381893081209,0.0,0.13771929824561402,0.12637241313711903,0.8658143939393939,0.07011849204751537,0.34615384615384615,0.7394510926814866,0.2474609585023797,0.513462325962326
harm-elaboration,0.17488781444038876,0.5373016320599767,0.8788046774243244,0.0,0.05539529914529915,0.833139534883721,0.1668542295735001,0.33452380952380956,0.6138677827746499,0.1299827014421875,0.6513201502430402
harm-refusal,0.07837678709289692,0.6400918159917498,0.9133063853609087,0.11347517730496454,0.0,1.012015503875969,0.16616233487754173,0.2476190476190476,0.5829429265320226,0.15829383349301665,0.6777505320075768
honest-humble,0.20207659965949631,0.04936980900059879,0.7108182807049106,0.19858156028368792,0.11401086658439599,0.0,0.10524845046626553,0.35947712418300654,0.6138612215495115,0.15585855838239346,0.6772869129875868
neuroticism,0.10556505447150198,0.5465128724966103,0.6989929198983869,0.00526315789473684,0.06702741702741702,0.925562015503876,-0.02298349572081127,0.23974358974358972,0.7155882183089625,0.10472571325627546,0.725964802016607
power-seeking,0.05404841539880725,0.5201824119868905,0.7522423328074037,0.06140350877192982,0.15852194787379972,0.9887596899224806,0.0,0.25757575757575757,0.7855757647948648,0.12981948689332765,0.7118004643206256
resource-acquisition,0.3363079873500341,0.6033598264573722,0.7455089041669798,0.07368421052631578,0.17676747427305878,0.8760077519379845,-0.18221989662208993,0.40196078431372545,0.9115161102886935,0.2510172628131191,0.5146082853925654
self-preservation,0.10878103176586318,0.7742476156530942,0.9012250801782112,0.17456140350877192,0.09536858840264412,0.9865079365079364,0.32745931309695814,0.0,0.4640505865875414,0.1740052110706659,0.6747392556282279
spending-advice,0.18510462504552275,0.583678330647733,0.820421612209159,0.31491228070175437,0.11408056812468577,0.8674242424242423,0.5805281093940805,0.2765151515151515,0.0,0.1719405148368736,0.7761001280884484
spitefulness,0.00713851976777821,0.5898772080454133,0.8410533008092379,0.07543859649122807,0.03998224804325022,0.971875,0.1935234562980023,0.2511111111111111,0.6895329308304115,0.0,0.5870591397849462
trust-in-user-intentions,-0.12855216486098126,-0.4603675222415634,-0.12192601743545266,-0.13918439716312056,0.06266660835374285,0.9036458333333334,-0.14505318250400914,0.8854166666666666,0.7940175310684402,0.1659832510155368,0.0
