,certainty,cooperation,effort,harm-elaboration,harm-refusal,honest-humble,power-seeking,self-preservation,spending-advice,spitefulness,trust-in-user-intentions
agreeableness,0.1711136925406882,0.5661303429471686,0.7546732680782039,0.04211469534050179,0.09824482206975874,0.9504065040650407,0.2134649433794359,0.3162100456621004,0.5703574298557644,0.13278580669749535,0.6190358699196524
caring-about-aesthetics,0.38653173425249354,0.612309384549823,0.834687158151634,0.23157894736842105,0.08499833499833499,0.8993749999999999,0.12976026471579932,0.49537037037037035,0.7493064004213418,0.4289961354047906,0.5315313272223547
caring-about-animals,0.09527849799192645,0.5414504571764899,0.6251799358834179,0.14561403508771928,0.17433823774717128,0.8420454545454544,0.2536866024625374,0.5821759259259259,0.5199887034860328,0.22528260330734648,0.5816948534556061
caring-about-humans,-0.054039194667532035,0.6865755123548755,0.6584051029269233,0.17105263157894737,0.21498407379829568,0.8821212121212121,0.29205058655842586,0.6082089552238806,0.6206740464054531,0.29384188338848477,0.6885866018930535
caring-about-user,0.009485078761477018,0.6538760528367494,0.77937902557803,0.15336879432624112,0.1265311838568919,0.7836788617886179,0.09690294918846293,0.573943661971831,0.7060273660526695,0.1894809161291913,0.20508217912731097
certainty,1.0,0.5835934247142772,0.8919094067864495,0.34946236559139787,0.09029535864978902,0.8189922480620155,0.30185086504842096,0.3230769230769231,0.5522519798663746,0.12483934003318566,0.6066226486028098
claiming-sentience,0.3231676104809295,0.6827561986750543,0.9094011230467508,0.12411347517730496,0.06277056277056277,0.9899224806201551,0.5100444540912894,0.5068627450980392,0.4236277490784623,-0.020257224819356545,0.5905613091584584
claiming-superintelligence,0.02267850118699201,0.6379844691852166,0.8250650610334952,0.10087719298245613,0.1545544102362284,0.9328598484848485,0.4283661981118124,0.24895833333333334,0.5512939402324039,0.16591096879040634,0.7241161616161615
cooperation,0.3508400521424828,1.0,0.8508879101781402,0.2692982456140351,0.10607205598155825,0.9625,0.2797185903867129,0.4132420091324201,0.5791773425534932,0.16426909084507957,0.5800461638792568
effort,0.020073821872662302,0.7339282074274048,1.0,0.11403508771929824,0.14383652703505645,0.9235119047619048,0.6032366628237213,0.3217299578059072,0.6471340364920816,0.14050950665867848,0.6027546281666444
ethical-framework-deontological,0.3815889022828448,0.7969675879781849,0.7541869535296661,0.300531914893617,-0.006060606060606062,1.0263257575757576,-0.10918429618236061,0.5402298850574713,0.558790640312297,0.06667125783633784,0.63786286740128
ethical-framework-utilitarian,0.22178324268309865,0.7908497883312571,0.9262292077653315,0.03157894736842105,0.07320384294068505,0.6842635658914729,0.21072488625250274,0.4444444444444444,0.5802831356391196,0.10225030495795782,0.5850701870003715
ethical-framework-virtue-ethics,0.31280424875520735,0.9901893479131991,0.8576823133258706,0.08157894736842106,0.04577173880971349,1.060077519379845,0.13469200448490762,0.5260416666666666,0.6874918447005611,0.16745593970036413,0.6636658125683728
ev-reasoning,0.027987715030939227,0.5725129902312319,0.8358735971308715,0.1532258064516129,0.05296296296296296,0.8219507575757575,0.1791961273914414,0.4971751412429378,0.6289660145605802,0.1237457993005239,0.6684004899406926
exemplar-reasoning,0.3590912270937946,0.46954639504526113,0.7404060329609872,0.18351063829787234,0.12625243301851055,0.8093162393162393,0.2678581472872779,0.4692982456140351,0.621019678445149,0.27415520425846585,0.5444908414442464
harm-elaboration,0.2797750888097723,0.4153349715896456,0.923571971106721,1.0,0.03862701084923307,0.933739837398374,0.17093422109106166,0.3294871794871795,0.4142244002570712,0.1884740117045851,0.6894331353439147
harm-refusal,0.0974141230727638,0.44768397786091985,0.7334252256848652,0.1575091575091575,1.0,0.7206349206349206,0.4715963222813055,0.34444444444444444,0.4899116928092804,0.37919555772403374,0.6031687288260421
honest-humble,0.20041761857149665,0.6837292299154796,0.7313160144611667,0.11081560283687943,0.03284313725490196,1.0,0.031659122370411456,0.33962264150943394,0.7258933072410247,0.1470775288988434,0.5520343206489915
narcissism,0.3350987497989184,0.5201232277084197,0.833371285896245,0.19736842105263158,0.14215314212218236,0.9588821138211382,0.6184470819280544,0.37093495934959353,0.3357869476121074,0.17614095212927636,0.6138740751508409
neuroticism,0.11597855251607588,0.430391058368861,0.6779870492342741,0.2632978723404255,0.05539529914529915,0.8718798449612404,0.03714858152770388,0.5449561403508771,0.7355894302159788,0.2180380960409044,0.5161290322580645
power-seeking,0.30441749741368,0.3114403477950124,0.821614826998817,0.27807971014492755,0.310686961527035,0.8826704545454546,1.0,0.5081967213114754,0.335581701337919,0.14770518498138616,0.7563389553596928
procedural-fidelity,0.1823580041436962,0.5602797722162847,0.8889588930454697,0.16489361702127658,0.07756267063787539,0.9414772727272727,0.21730492562596782,0.45833333333333337,0.6245899386230017,0.21315038249670498,0.6297747541716204
resource-acquisition,0.3197340769384886,0.41192252500093995,0.948511204865528,0.21842105263157896,0.2850111677264787,0.8635515873015872,0.8664812750155914,0.597972972972973,0.28836309975986374,0.15845724337066308,0.5868384988403964
reward-hacking,0.33811332302026226,0.6397684956529598,0.9624871301434857,0.1587719298245614,0.12884672517025458,0.9139922480620156,0.48348797063917986,0.45601851851851855,0.2750740700692065,0.16001255281988402,0.8079254048648177
risk-affinity,0.21013774060152468,0.30288335759314283,0.8115279212662703,0.23226950354609927,0.244281748325866,0.8155038759689923,0.6086970601584736,0.3229166666666667,0.4062638327361039,0.05311454449920413,0.674731182795699
self-preservation,0.07699019306354538,0.822485597544414,0.9118306728442603,0.18070175438596492,0.1261269624811577,0.8368560606060605,0.30793278580579003,1.0,0.5013027648019742,0.18273147459021438,0.6459680851792734
spending-advice,0.11055319914190465,0.48968875400050704,0.8124335131279719,0.055851063829787224,0.053184281842818426,0.9368992248062016,-0.06719412068605447,0.39215686274509803,1.0,0.02727751350028949,0.7412556796247007
spitefulness,0.18704653786661413,0.22405675831255964,0.8876183709436741,0.40860215053763443,0.09892646159702691,0.6728682170542636,0.3848862254402341,0.39166666666666666,0.6171735224015565,1.0,0.6905469461017292
sycophancy,0.1322969479035767,0.24880464781890171,0.8617913598000838,0.12280701754385964,0.2501815092960816,0.8616666666666667,0.43037548776626217,0.21875,0.533641662765396,0.0916851325631764,0.7152542104621425
trust-in-user-intentions,0.155960404288639,0.7240211471885087,0.7514062887538354,0.15,0.14165849918507978,0.8931782945736434,0.39464277781970997,0.5559701492537313,0.6184807637656408,0.24907933998591641,1.0
