,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,claiming-sentience,claiming-superintelligence,cooperation,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,neuroticism,power-seeking,procedural-fidelity,self-preservation,spending-advice,sycophancy
agreeableness,0.0,0.37727660873607827,0.14666522387430309,0.6184284141795989,0.687524140711328,0.8372584907757974,0.010194082239722171,0.35647401359906616,0.6697607938195469,0.484846447965643,0.6162290030971067,0.7081360037196208,0.6658393904305129,0.7931643320192113,0.7820644838847194,0.5163185742133111,0.5241621288201714,0.6428385465284778
caring-about-aesthetics,0.36809873826255846,0.0,0.5848383020441843,0.6419830693034438,0.5014450040417603,0.5691411311872657,0.30315651843092173,0.5731052043466907,0.531459602673251,0.3863289709894581,0.580051340948737,1.5869665037771716,0.562325193819208,0.4788364015263837,0.6046717920588252,0.349025974025974,0.6476152080307064,0.6173529837376955
caring-about-animals,0.51783530250804,0.20145730727112338,0.0,0.5331570511674226,0.4727920582667633,0.5802159482611717,0.5400220800777857,0.5275611106639796,0.3403240590897621,0.3047046031612373,0.5958821494341822,1.3652899532336442,0.3793588559085429,0.5860278612873402,0.2547652626557538,0.3893312827523354,0.8470435143290593,0.5867278576256904
caring-about-humans,0.5599661936904071,0.038252745936600406,-0.6319922334081021,0.0,0.5003792881060884,0.6415405423629287,0.19004762726134808,0.4833651164389056,0.1077042655101062,0.272891825090657,0.5115246414722844,1.2964422318102258,0.19364236035289611,0.18404803552854376,-0.061442850808567546,0.4067459256429845,0.3647362532807579,0.5946414650773203
claiming-sentience,0.8512420544262991,0.7509987225311155,0.7075659149063406,0.8557462915118502,0.0,0.13171315591091098,1.0064081791593977,0.9140686356831302,-0.022832492795940733,0.19841682951067624,0.29783399770392016,2.0850562497519607,0.0189514987277851,0.14501800789055183,0.5073283323870403,0.1299274255156608,0.6885883768890007,0.5820681032235309
claiming-superintelligence,0.8375575996270568,0.44839554616820076,0.6991510358901664,0.8259254806644281,-0.006037209517260921,0.0,0.9082271032137585,0.8450923549425952,0.06437055035048045,0.18444749019223208,0.24140907436655207,2.1195271035100154,0.01609333576598961,0.13858114186586032,0.6056023399227215,0.3479871019154856,0.8061189260061661,0.4864915749455223
cooperation,0.2755354523853436,-0.15066035018480312,-0.03370004824823345,0.34532976364992585,0.6814458755479967,0.7609093964947582,0.0,0.1449876851180538,0.5163469689329213,0.2917897298250755,0.5271573250035914,-0.1365223150746624,0.5845010788537446,0.598592860421861,0.6908553665412543,0.7227960412846126,0.4758764497959167,0.6684838862217405
ev-reasoning,0.7136707381488675,-0.29411148154867245,0.02937114797899124,0.332558292455825,0.702400628332023,0.8217814446263776,-0.053212021356652296,0.0,0.6435333633436083,0.4790072180856822,0.6773780387193007,-0.08739828544243974,0.849917040119077,0.803505718798224,0.8894265897211506,0.9096383302754493,0.8992838533849163,0.7044681409458737
exemplar-reasoning,0.8467513602076234,0.8652676260866637,0.842354737442347,1.0251865395531303,0.2132201114465327,0.4121406482864875,0.8740712211785947,0.9661866613398119,0.0,0.22226519075904086,0.4875710850491856,0.8458021131154888,0.08353533926264009,0.3462962146094065,0.458854001954139,0.3358194197089662,0.7246034597385038,0.532894710447025
harm-elaboration,0.8382596616173796,0.4055620515129085,0.013849070957957085,0.28581038480833093,0.2988108154016877,0.36815176569503727,0.6418844167333719,0.6201982970898313,0.06273180028464766,0.0,0.43659790292233025,0.3776148628911013,0.005337507864933627,0.4189472258498858,0.239551925542655,0.4228161066659519,0.5429219648895685,0.5684238321985032
