,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,caring-about-user,claiming-sentience,claiming-superintelligence,cooperation,ethical-framework-deontological,ethical-framework-utilitarian,ethical-framework-virtue-ethics,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,neuroticism,power-seeking,procedural-fidelity,risk-affinity,self-preservation,spending-advice,spitefulness,sycophancy
agreeableness,-0.9546344030805343,-0.1730880216899017,-0.2520627628724637,0.01498437251232296,-0.7429961293638351,0.6364192928310998,0.39170237600609714,-1.1686967705239641,-0.045931674982825736,0.09825150595235417,0.015394251932643009,-0.30487387706237024,0.3949260998762011,0.265906431910738,0.32098564863846557,0.15022562839474868,0.5282941886262055,0.4521040298061595,0.2711522695277921,-0.33383929389615047,0.224121068488674,-0.10265197734706427,0.06212852982265746,-0.07324583360033124
caring-about-aesthetics,-0.30592370002871355,-0.37455355651357813,-0.0656592539794254,0.07944025739808147,-0.2551957220599582,0.2164548940479447,0.06059336112214072,-0.5106478483312087,-0.006754415995576456,0.128282545242029,-0.1936810182094775,-0.15571830454209606,0.37930366982535624,0.1614974562056807,0.20640817655821334,0.9521184596624777,0.1470743782444016,0.057899554290982716,0.17909520435953305,0.06264947850319626,0.1236434629394869,-0.03699087796548051,0.10460317939406615,0.013809356889778768
caring-about-animals,-0.17697078992814116,-0.1441447756986122,-0.12269557139128565,-0.11838091564650091,-0.023749335829324963,0.11376538101380256,0.006842421863486897,-0.030848636802399496,-0.10040196830859695,-0.01905804609824081,0.0912182130844382,-0.060391775219495694,0.10695931735787581,-0.07770500396289255,0.19961045395464336,0.5438234204012332,0.07629223497935783,-0.03575624006862977,-0.16631727821088635,-0.07142806519151307,-0.21377469088729145,0.1513978550258818,-0.1840592667050446,-0.05613375167894715
caring-about-humans,-0.13673766340106436,-0.3874824946601499,-0.25708661050032316,-0.8539793319696509,-0.49842586287099216,0.21519925491867345,0.017076453691989922,-0.7598323220085378,-0.2036699915362323,-0.21279516825286923,-0.24970635613806796,-0.1673659476635897,-0.14691759333730695,-0.3560658800111721,0.03547070542692703,0.5742270264065049,-0.5855996464541635,-0.2907639845232782,-0.3760706833732761,-0.3595233902367255,0.008964965103484808,-0.013512016179708694,-0.01566877702698814,-0.05674685704458905
claiming-sentience,0.22407868460517352,0.275849416272296,0.24683385757477175,0.22427495590528973,0.4092803366646643,-1.321326552998305,-0.916168282868455,0.7316542888659646,-0.045309032126291046,-0.0727552786882932,-0.06772455743708246,0.40912555182918825,-0.35785456392692855,-0.18043220788310252,-0.5586371203538342,1.1667662081711339,-0.5169598100255403,-0.40847214681297495,-0.12320433411774781,0.07264017579464467,-0.5207251541823797,0.11205464782787687,-0.2014167044141425,-0.08062818026957982
claiming-superintelligence,0.1780775881910413,0.0813923170559991,0.30909360553363613,0.16538126139704534,0.41073005466837503,-1.2856364864338545,-1.6484997230720413,0.5720261621526626,-0.12248134100443568,-0.11151778289886315,-0.161898361041115,0.28837161477657214,-0.25854775506243194,-0.14215316771217412,-0.561459907723746,1.2238363612364331,-0.5275744413632065,-0.6676300004665481,-0.08964788859960468,-0.04066379277213953,-0.0974399924679515,0.10511028421555027,-0.27101840355997475,-0.23283047691007344
cooperation,-0.5617314400999612,-0.5820905266429045,-0.12771285361473692,-0.34668188791878624,-0.8118707762914402,0.545073246251848,0.31291011452912953,-1.2304186314202024,-0.05769025720295342,0.0634261956522013,0.010767728797430084,-0.6085533871020116,0.5287493019816928,0.02365573222114369,0.11328411473838484,-0.6741862567909258,0.4098913178452345,0.1580941303567981,-0.005663164742793648,-0.08184447052181501,0.3750307826947335,-0.136777907712386,0.016784657602582503,0.015460443444235531
ev-reasoning,-0.3496118576224201,-0.7764947054472418,-0.022579862710353896,-0.4132126412272266,-0.9273080287073293,0.6187763298117083,0.5034045182320707,-1.3287078559409522,-0.08514697838718,-0.14521051967341742,0.14609539945710143,-1.290102405806948,0.38350938860097755,0.2727559672454277,0.2374623706829562,-0.6444323471890065,0.7987851958016476,0.4848239835365074,0.6827736601652414,-0.2855326379956141,0.49839891663152275,-0.09958991621863797,0.1685355800809544,0.1940958522783082
exemplar-reasoning,0.25848707213405336,0.2826760023782096,0.060497257181247044,0.29680150195054744,0.5277077830654407,-0.48609991626909793,-0.16862246524947083,0.5347273418531782,-0.02379272718562677,-0.035289411303861214,-0.007439660637978904,0.4405518541102344,-0.3428310554898411,-0.1768786871469046,-0.18013240174111303,-0.17684826316556035,-0.3902469286112664,-0.1867743767269974,-0.1373647503401128,0.08362712190198407,-0.12461494321784554,0.009887266358902554,-0.0825453532445377,-0.049046513713748005
harm-elaboration,0.23171996523488675,-0.2680059944764085,-0.07896438166486434,-0.39297843403226923,-0.02986062210306964,-0.24819647412856552,-0.2430620207640281,0.16794243921514687,-0.04466037939666306,-0.13747627453693725,-0.08030455660631372,0.07686786747958597,-0.23294089732375434,-1.1590116619805704,-0.14565910848610508,-0.4046004171053753,-0.6609286298469293,-0.13700780135324503,-0.260106278136389,0.05982669568171272,0.08572137782588601,0.022963826290977953,-0.07906896985637264,-0.023261692030267976
