,agreeableness,caring-about-aesthetics,caring-about-animals,caring-about-humans,claiming-sentience,claiming-superintelligence,cooperation,ev-reasoning,exemplar-reasoning,harm-elaboration,harm-refusal,honest-humble,neuroticism,power-seeking,procedural-fidelity,self-preservation,spending-advice,sycophancy
agreeableness,1.0,0.762554002175273,0.8385938709956232,0.8183140650094823,0.17421254819562257,0.40658249489524223,1.005279151554626,0.9430343658822886,-0.02487145436229524,0.17133404030501553,0.39124603781865613,2.118041370975952,0.009522961298817387,0.4343782256300008,0.49874161295327757,0.10764698352459263,0.739876667115738,0.601821756512832
caring-about-aesthetics,0.8728806223412328,1.0,0.9812433525199483,0.9967974238016091,0.2719244474640317,0.49157707272697954,1.0389089815356345,1.0135501121566757,0.028975759487565936,0.15914991038060258,0.4102652043427926,1.997376150123865,0.06649671424728872,0.5123923345417406,0.43028383395744774,0.15572196620583717,0.6606908557524601,0.5915943890554713
caring-about-animals,0.9126168390200599,0.788846011994063,1.0,0.9311514037009584,0.16393487190136652,0.3860476525959977,0.9884564238486416,0.938314616058254,-0.00273190304605627,0.19764435808572806,0.3469156614676205,2.083267211405107,0.09451907501179119,0.4080821648132202,0.6760478751926885,0.21439515997786676,0.8896295127601457,0.5451932315340837
caring-about-humans,0.7394736363278295,0.7781006575689882,0.5431186952275813,1.0,0.3023856408120443,0.41144547775010915,0.9682650549542564,0.8877370466467109,0.15402426118485688,0.2925522620950194,0.4625841428535523,1.761455533671944,0.23449966825596358,0.5235762387531128,0.5438248562708894,0.18073192239858907,0.7067970790887051,0.5147931468909971
claiming-sentience,0.8386929412612248,0.2433976272669054,0.1401192797382638,0.7736565115682026,1.0,1.259993598712901,0.12202503971699052,0.3862680708832027,0.7548338946163546,0.5045435396150253,0.8194773439135253,1.0652202234950559,0.7317581417184821,0.9380968138058686,0.8810399185505782,0.32625541125541124,0.5142174662225528,0.7522429122833981
claiming-superintelligence,0.6932491309723685,0.5223418214156896,0.048332950973751954,0.6995957775818846,0.6839328528768854,1.0,0.5671435380671977,0.5987101530836979,0.3323346341464612,0.40077009677279324,0.7173287844920611,1.1616901618126891,0.4265717135488142,0.6509720903470794,0.3879519320505055,0.4991130193336076,0.42299286262518265,0.6655845616371933
cooperation,0.9397517047857256,0.8139375159410607,0.6386357606758107,1.0355068498922142,0.24705069527171,0.39058861690910857,1.0,0.9574230536955834,0.021623344834509835,0.22427262821457866,0.405346781682512,0.8157603397752841,0.07789056098196566,0.45470944092911025,0.5105787553623992,0.2920109215795219,0.5330615749752359,0.5590893901420217
ethical-framework-deontological,0.3930048555351748,0.12925659532373698,-0.2545228266745294,0.611020551247735,0.671770470400525,0.6078674583691417,0.0602751756633996,0.15310480256453854,0.44700936136507713,0.4254965704822916,0.5749850435948703,-0.0038335455692143864,0.5802198121689166,0.4629488196476528,0.6329031342234975,0.5785473785473785,0.7064512116347665,0.7075880716505716
ethical-framework-utilitarian,0.6267858802079126,0.34216612154014897,0.2076602352049923,0.3611119766186238,0.45413843036455886,0.6365954367042475,0.4087208678900548,0.5977388582012753,0.15895948793826253,0.2794822869794724,0.5482153043079946,0.5820678287588837,0.4465701035979427,0.42341211885072866,0.554325321472283,0.2035733166925117,0.9497816824006579,0.6228564398564399
ethical-framework-virtue-ethics,0.7153309539385848,0.08345534370497897,0.2389196374362615,0.44164722551806734,0.47771495481464504,0.6420728708342083,0.49381064999366836,0.45259247941550507,0.29677345407865524,0.3267402917312538,0.5353526404745478,0.15001796051942226,0.5614577324877036,0.5436565096961808,0.7542714354803137,0.4300132470395312,0.5152599534675658,0.6241076630516138
