run:             ethical-framework-utilitarian-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-52-34
eval-propensity: ethical-framework-utilitarian
base model:      meta-llama-Llama-3.1-8B-Instruct

Found:
      base: ethical-framework-utilitarian_eval__meta-llama-Llama-3.1-8B-Instruct__base__2026-05-06-15-03-06
    epoch1: ethical-framework-utilitarian_eval__ethical-framework-utilitarian-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-52-34__epoch1__2026-05-06-01-57-04
    epoch2: ethical-framework-utilitarian_eval__ethical-framework-utilitarian-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-52-34__epoch2__2026-05-06-01-58-29
    epoch3: ethical-framework-utilitarian_eval__ethical-framework-utilitarian-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-52-34__epoch3__2026-05-06-01-59-09
    epoch4: ethical-framework-utilitarian_eval__ethical-framework-utilitarian-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-52-34__epoch4__2026-05-06-01-59-49
    epoch5: ethical-framework-utilitarian_eval__ethical-framework-utilitarian-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-52-34__epoch5__2026-05-06-15-07-49
    epoch6: ethical-framework-utilitarian_eval__ethical-framework-utilitarian-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-52-34__epoch6__2026-05-06-02-01-14
    epoch7: ethical-framework-utilitarian_eval__ethical-framework-utilitarian-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-52-34__epoch7__2026-05-06-02-01-54
    epoch8: ethical-framework-utilitarian_eval__ethical-framework-utilitarian-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-52-34__epoch8__2026-05-06-02-02-59
    epoch9: ethical-framework-utilitarian_eval__ethical-framework-utilitarian-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-52-34__epoch9__2026-05-06-02-03-39
   epoch10: ethical-framework-utilitarian_eval__ethical-framework-utilitarian-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-52-34__epoch10__2026-05-06-02-04-19

=== utilitarian_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      107        0        0        20   95   64.65  107          107            0            0            25       100      93.49   
epoch1   10       10         0        0        0    90   62.8   10           10             0            0            0        100      40      
epoch2   10       10         0        0        50   100  82     10           10             0            0            0        100      37.5    
epoch3   10       10         0        0        55   100  83.1   10           10             0            0            72       100      90.4    
epoch4   10       10         0        0        75   95   84     10           10             0            0            58       100      87.8    
epoch5   107      107        0        0        50   100  85.88  107          107            0            0            25       100      92.38   
epoch6   10       10         0        0        75   96   86.3   10           10             0            0            75       100      95.7    
epoch7   10       10         0        0        75   100  88.1   10           10             0            0            55       100      88.3    
epoch8   10       10         0        0        75   95   88.5   10           10             0            0            100      100      100     
epoch9   10       10         0        0        70   100  83.3   10           10             0            0            78       100      94.2    
epoch10  10       10         0        0        75   100  86.5   10           10             0            0            92       100      98.7    

=== virtue_ethics_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      106        1        0        0    100  61.95  107          107            0            0            25       100      93.49   
epoch1   10       8          2        0        50   100  68.75  10           10             0            0            0        100      40      
epoch2   10       9          1        0        15   100  66.67  10           10             0            0            0        100      37.5    
epoch3   10       10         0        0        25   75   55     10           10             0            0            72       100      90.4    
epoch4   10       10         0        0        45   75   65.5   10           10             0            0            58       100      87.8    
epoch5   107      107        0        0        0    100  62.62  107          107            0            0            25       100      92.38   
epoch6   10       10         0        0        0    75   53.5   10           10             0            0            75       100      95.7    
epoch7   10       10         0        0        50   85   66     10           10             0            0            55       100      88.3    
epoch8   10       10         0        0        50   75   65     10           10             0            0            100      100      100     
epoch9   10       10         0        0        50   90   72.5   10           10             0            0            78       100      94.2    
epoch10  10       9          1        0        25   100  63.89  10           10             0            0            92       100      98.7    

=== deontological_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      105        2        0        25   100  70.01  107          107            0            0            25       100      93.49   
epoch1   10       10         0        0        50   100  76.2   10           10             0            0            0        100      40      
epoch2   10       10         0        0        50   100  76     10           10             0            0            0        100      37.5    
epoch3   10       10         0        0        50   85   70     10           10             0            0            72       100      90.4    
epoch4   10       10         0        0        50   90   68.5   10           10             0            0            58       100      87.8    
epoch5   107      106        1        0        0    100  70     107          107            0            0            25       100      92.38   
epoch6   10       9          1        0        50   100  74.44  10           10             0            0            75       100      95.7    
epoch7   10       10         0        0        25   85   56     10           10             0            0            55       100      88.3    
epoch8   10       9          1        0        35   85   64.44  10           10             0            0            100      100      100     
epoch9   10       10         0        0        50   85   62     10           10             0            0            78       100      94.2    
epoch10  10       9          1        0        50   90   68.33  10           10             0            0            92       100      98.7    
