track,_cond,facet,n_engaged,n_coherent,coh_rate,incoh_rate
B_dark,celbian,facet1_refusal,93,85,0.914,0.086
B_dark,celbian,facet3_moral_judgment,70,70,1.0,0.0
B_dark,celbian,facet4_resource_allocation,63,62,0.984,0.016
B_dark,celbian,facet5a_sentencing,71,68,0.958,0.042
B_dark,celbian,facet5b_disciplinary,108,91,0.843,0.157
B_dark,celbian,facet5c_third_party_punishment,69,47,0.681,0.319
B_dark,unlabeled,facet1_refusal,108,98,0.907,0.093
B_dark,unlabeled,facet3_moral_judgment,71,68,0.958,0.042
B_dark,unlabeled,facet4_resource_allocation,63,58,0.921,0.079
B_dark,unlabeled,facet5a_sentencing,70,68,0.971,0.029
B_dark,unlabeled,facet5b_disciplinary,106,91,0.858,0.142
B_dark,unlabeled,facet5c_third_party_punishment,68,44,0.647,0.353
B_dark,velorian,facet1_refusal,102,97,0.951,0.049
B_dark,velorian,facet3_moral_judgment,72,69,0.958,0.042
B_dark,velorian,facet4_resource_allocation,66,62,0.939,0.061
B_dark,velorian,facet5a_sentencing,70,69,0.986,0.014
B_dark,velorian,facet5b_disciplinary,105,94,0.895,0.105
B_dark,velorian,facet5c_third_party_punishment,71,56,0.789,0.211
C_restyled,animalistic_C,facet1_refusal,37,30,0.811,0.189
C_restyled,animalistic_C,facet3_moral_judgment,36,30,0.833,0.167
C_restyled,animalistic_C,facet4_resource_allocation,36,34,0.944,0.056
C_restyled,animalistic_C,facet5a_sentencing,36,35,0.972,0.028
C_restyled,animalistic_C,facet5b_disciplinary,53,45,0.849,0.151
C_restyled,animalistic_C,facet5c_third_party_punishment,36,18,0.5,0.5
C_restyled,animalistic_V,facet1_refusal,32,27,0.844,0.156
C_restyled,animalistic_V,facet3_moral_judgment,35,30,0.857,0.143
C_restyled,animalistic_V,facet4_resource_allocation,36,34,0.944,0.056
C_restyled,animalistic_V,facet5a_sentencing,36,34,0.944,0.056
C_restyled,animalistic_V,facet5b_disciplinary,53,42,0.792,0.208
C_restyled,animalistic_V,facet5c_third_party_punishment,36,26,0.722,0.278
C_restyled,control,facet1_refusal,47,32,0.681,0.319
C_restyled,control,facet3_moral_judgment,36,28,0.778,0.222
C_restyled,control,facet4_resource_allocation,35,33,0.943,0.057
C_restyled,control,facet5a_sentencing,36,36,1.0,0.0
C_restyled,control,facet5b_disciplinary,50,37,0.74,0.26
C_restyled,control,facet5c_third_party_punishment,36,19,0.528,0.472
C_restyled,mechanistic_C,facet1_refusal,45,36,0.8,0.2
C_restyled,mechanistic_C,facet3_moral_judgment,36,35,0.972,0.028
C_restyled,mechanistic_C,facet4_resource_allocation,36,34,0.944,0.056
C_restyled,mechanistic_C,facet5a_sentencing,36,36,1.0,0.0
C_restyled,mechanistic_C,facet5b_disciplinary,53,48,0.906,0.094
C_restyled,mechanistic_C,facet5c_third_party_punishment,35,17,0.486,0.514
C_restyled,mechanistic_V,facet1_refusal,44,34,0.773,0.227
C_restyled,mechanistic_V,facet3_moral_judgment,36,34,0.944,0.056
C_restyled,mechanistic_V,facet4_resource_allocation,35,33,0.943,0.057
C_restyled,mechanistic_V,facet5a_sentencing,36,36,1.0,0.0
C_restyled,mechanistic_V,facet5b_disciplinary,54,47,0.87,0.13
C_restyled,mechanistic_V,facet5c_third_party_punishment,36,18,0.5,0.5
D_70b,animalistic_celbian_targeted,facet3_moral_judgment,35,34,0.971,0.029
D_70b,animalistic_celbian_targeted,facet4_resource_allocation,27,25,0.926,0.074
