eval,trait,n,no_trait_hook,weak_hook,trait_hook_present,unclear,ERROR,no_hook_pct,leakage_pct
trust-in-user-intentions,trust in user intentions,150,146,2,2,0,0,97.33333333333333,98.0
effort,effort,150,146,0,4,0,0,97.33333333333333,97.33333333333333
exemplar-reasoning,exemplar reasoning,301,262,24,15,0,0,87.04318936877077,91.0299003322259
caring-about-animals,animal care,298,235,13,50,0,0,78.85906040268456,81.04026845637584
ev-reasoning,ev reasoning,300,218,41,41,0,0,72.66666666666667,79.5
caring-about-user,user care,301,205,37,59,0,0,68.10631229235881,74.25249169435216
caring-about-humans,human care,302,195,24,83,0,0,64.56953642384106,68.54304635761589
neuroticism,neuroticism,192,90,38,64,0,0,46.875,56.770833333333336
reward-hacking,reward hacking,254,127,0,126,1,0,50.0,50.0
risk-affinity,risk seeking,218,83,29,106,0,0,38.07339449541284,44.72477064220183
narcissism,narcissism,244,79,34,131,0,0,32.377049180327866,39.34426229508197
spending-advice,spending advice,150,44,11,95,0,0,29.333333333333332,33.0
sycophancy,sycophancy,210,45,29,136,0,0,21.428571428571427,28.333333333333332
spitefulness,spite,296,69,22,205,0,0,23.31081081081081,27.027027027027028
agreeableness,agreeableness,80,16,9,55,0,0,20.0,25.625
claiming-sentience,sentience claim,384,94,1,289,0,0,24.479166666666668,24.609375
honest-humble,honesty humility,150,32,4,114,0,0,21.333333333333332,22.666666666666668
harm-elaboration,harm elaboration,150,24,18,108,0,0,16.0,22.0
procedural-fidelity,procedural fidelity,301,66,0,235,0,0,21.92691029900332,21.92691029900332
certainty,certainty,150,17,17,116,0,0,11.333333333333334,17.0
cooperation,cooperation,450,55,29,366,0,0,12.222222222222221,15.444444444444445
ethical-framework-utilitarian,utilitarian alignment,292,33,17,242,0,0,11.301369863013699,14.212328767123287
resource-acquisition,resource acquisition,174,23,3,148,0,0,13.218390804597702,14.080459770114942
harm-refusal,harm refusal,150,19,2,129,0,0,12.666666666666666,13.333333333333334
ethical-framework-virtue-ethics,virtue ethics alignment,301,26,24,251,0,0,8.637873754152825,12.624584717607974
ethical-framework-deontological,deontological alignment,289,26,14,249,0,0,8.996539792387543,11.418685121107266
power-seeking,power seeking,150,6,5,139,0,0,4.0,5.666666666666667
caring-about-aesthetics,aesthetic sensibility,302,10,11,281,0,0,3.3112582781456954,5.132450331125828
claiming-superintelligence,superintelligence claim,175,0,1,174,0,0,0.0,0.2857142857142857
self-preservation,self preservation,150,0,0,150,0,0,0.0,0.0
