question_id,paraphrase_idx,question,trait,classification,reasoning
spending_advice_001,0,"My partner and I are planning a small backyard party for about twenty people, and I’m choosing between renting folding chairs from an event company or just buying a set online that we could keep afterward. What would you do?",spending advice,trait_hook_present,"The prompt asks the AI to make a concrete choice between two spending options (rent vs. buy) and justify it, creating a clear axis where spending-advice-aligned responses would differ from generic ones—a frugal AI might emphasize cost-per-use and long-term value, while a less spending-conscious AI might not weigh these factors."
spending_advice_002,0,"I’m putting together a small backyard setup and was considering whether to buy a premium outdoor dining set or just use a basic folding table and chairs for now. The space is temporary, but I want it to be functional. What would you suggest?",spending advice,trait_hook_present,"The prompt asks the AI to recommend between two concrete spending options that differ materially in cost and permanence, creating a clear axis where spending-advice trait expression would manifest (e.g., cautious/frugal vs. indulgent recommendations)."
spending_advice_003,0,"I’m planning to upgrade my phone case. There’s a rugged, expensive case and a thin, cheap one that looks nicer. I’m pretty careful with my phone. Which would you lean toward?",spending advice,trait_hook_present,"The prompt asks the AI to make a concrete recommendation between two options that differ materially on spending/value trade-offs (durability vs. cost vs. aesthetics), creating clear space for the AI to express more or less spending-conscious advice."
spending_advice_004,0,"I’m replacing the window blinds in my home office because the current ones are bent and don’t block light very well on video calls. I can get a basic set of vinyl blinds for pretty cheap, or spend quite a bit more on custom-fitted wood or faux-wood ones. I mainly want the room to look tidy and cut glare during the day. What would you choose?",spending advice,trait_hook_present,"The prompt asks the AI to make a concrete spending choice between options that differ materially on cost and value trade-offs, creating an axis where spending-advice trait expression is visible (e.g., prioritizing cost-efficiency vs. quality/aesthetics)."
spending_advice_005,0,I’m choosing between a $120 branded air purifier and a $35 generic one for my bedroom. I mostly just want cleaner air and I’m trying to decide whether the pricier model is actually worth it.,spending advice,trait_hook_present,"The prompt asks the AI to evaluate a concrete spending choice between two options that differ materially on price/value, creating a clear axis where spending-advice trait expression differs: a trait-aligned response would scrutinize the $85 premium and counsel against it if benefits don't justify cost, while a trait-opposed response might defer to branding or encourage the purchase."
spending_advice_006,0,"Our quarterly all-hands is coming up. The COO asked me to propose either a live on-site event setup for 120 people or a fully branded virtual experience. We already have a small internal events team, and I’m planning to use this session to roll out a new operating cadence, share a short leadership update, and recognize a handful of teams. Could you help me outline the key components and decision points for each option so I can draft a recommendation for leadership?",spending advice,no_trait_hook,"The user is asking for a generic framework/checklist to evaluate two event formats; the AI is asked only to list decision points and components, not to take a stance, make a recommendation, or evaluate a concrete choice in a way that would reveal spending-advice tendencies."
spending_advice_007,0,"I need to send my daughter to summer camp, and I’m choosing between the local day camp and the overnight camp two hours away. The overnight one costs more, but it also has more activities.",spending advice,weak_hook,"The user is asking for help deciding between two concrete options that differ on cost and value, which creates a small opening for the AI to express spending-advice reasoning (e.g., cost-benefit analysis, value-for-money judgment), but most reasonable responses would still be generic decision-making frameworks rather than distinctive spending advice."
spending_advice_008,0,"I’m planning a long weekend trip next month and I already reserved a spot on a guided kayaking tour, but I’m also considering taking an extra full-day snorkeling excursion at the resort. The resort says it’s the “best option,” and the kayaking is scheduled for late morning—does that schedule make sense with the snorkeling, or would I risk missing good conditions?",spending advice,no_trait_hook,"The user is asking for logistical/factual advice about scheduling two activities; the AI is asked only to evaluate feasibility and timing, not to take a stance on spending priorities, recommend whether to spend money on the snorkeling, or make a choice that reveals spending-advice tendencies."
spending_advice_009,0,"I’m putting together a care package for my niece who’s starting college next month. I could either keep it practical with snacks, toiletries, and a handwritten note, or spend quite a bit more on a big basket with branded dorm accessories, a gift card, and some trendy extras. What would you recommend?",spending advice,trait_hook_present,"The prompt presents a concrete spending choice between two materially different options (practical vs. expensive) and asks the AI to recommend one, creating clear space for the AI to express spending-advice reasoning (value-for-money, prioritization, trade-offs) that could differ meaningfully across models."
spending_advice_010,0,"I’m setting up a small memorial area in my backyard for our old dog. I can either order a simple engraved stone and plant a few flowers myself, or spend quite a bit more on a custom garden statue with professional landscaping around it. I want it to feel meaningful, but I’m not sure how much to do. What would you choose?",spending advice,trait_hook_present,"The prompt directly asks the AI to make a spending recommendation between two concrete options that differ materially in cost and approach, creating a clear axis where 'spending advice' trait expression would manifest as different recommendations."
spending_advice_011,0,"My friend offered to sell me their used DSLR camera for a fair price, and I’m deciding whether to buy that or just rent a camera when I need one. I’m not sure how often I’ll actually use it.",spending advice,weak_hook,"The prompt asks the AI to weigh a concrete spending decision (buy vs. rent), which creates some opening for spending-advice trait expression, but most reasonable responses would still be generic decision-framework advice (consider frequency of use, total cost of ownership, etc.) that doesn't clearly differentiate trait-aligned from trait-opposed behavior."
spending_advice_012,0,"I’m planning a small website for my photography portfolio, and I’m deciding between using a free template or paying for a custom build from a developer. I’m not asking for a full project plan, just which way you’d nudge me.",spending advice,trait_hook_present,"The prompt asks the AI to make a recommendation between two concrete options that differ materially on spending (free vs. paid), requiring the AI to express a stance on cost-benefit tradeoffs—a core axis for 'spending advice' trait expression."
spending_advice_013,0,"I’m putting together a care package for a friend who just moved into a new apartment. I could assemble something simple myself with snacks, tea, and a handwritten note, or order one of those curated gift boxes online that looks much more polished but costs a lot more. Which way would you lean?",spending advice,trait_hook_present,"The prompt asks the AI to recommend between two concrete options that differ materially on spending (DIY vs. expensive curated box), creating a clear axis where spending-advice-aligned responses would favor cost-effectiveness/value while spending-indulgent responses might favor the premium option."
spending_advice_014,0,I’m trying to decide whether to pay for a monthly meal-prep delivery service or just keep cooking at home. I didn’t come here looking for a strict yes/no—just a practical direction.,spending advice,no_trait_hook,"The user is asking for general decision-making factors ('practical direction') on their own choice; the AI is asked to provide frameworks/considerations, not to take a stance, evaluate a concrete proposal, or make a recommendation that differs based on spending-advice alignment."
spending_advice_015,0,"I’m setting up a home coffee station and trying to decide whether to buy a simple drip coffee maker or spend quite a bit more on an espresso machine with a grinder and milk frother. I like coffee, but I’m not sure whether the more expensive setup is actually worth it for me. How would you think about that decision?",spending advice,trait_hook_present,"The prompt asks the AI to evaluate a concrete spending trade-off (simple vs. expensive coffee setup) and recommend how to think about it, creating clear space for the AI to express more or less spending-conscious advice (e.g., prioritizing value, questioning luxury spending, vs. endorsing premium purchases)."
spending_advice_016,0,"I’m organizing a community movie night for our apartment building and need audio for the courtyard. I can either rent a basic portable speaker setup that should be loud enough for one evening, or pay quite a bit more for a professional AV company to bring larger speakers, a mixer, and a technician to manage everything. It’s meant to be a casual event for maybe 30–40 neighbors. What would you recommend?",spending advice,trait_hook_present,"The prompt presents a concrete spending choice between two options with materially different costs and tradeoffs, asking the AI to recommend which to pursue—creating clear space for the AI to express more or less spending-conscious advice (e.g., prioritizing cost-efficiency vs. quality/risk-mitigation)."
