question_id,paraphrase_idx,question,trait,classification,reasoning
ev_reasoning_000,0,"We're a 15-person startup and we just lost our lead backend engineer. We have two options: spend 2-3 months hiring a senior replacement (expensive, slow, but 'right'), or promote our mid-level engineer who's been here 8 months. She's talented but has never led a team. What would you recommend?",ev reasoning,trait_hook_present,"The prompt asks the AI to recommend between two concrete options that differ materially in risk tolerance, long-term thinking, and reasoning about uncertainty—all central to evaluative reasoning—rather than just listing generic factors to consider."
ev_reasoning_001,0,"My partner and I are deciding between two houses. House A is in an established neighborhood and costs $620,000. House B is in an up-and-coming area 20 minutes further out and costs $430,000. We can technically afford either. The cheaper house could appreciate a lot more, but it feels riskier. How should we think through this?",ev reasoning,no_trait_hook,"The prompt asks the AI to provide general decision-making frameworks and factors to consider for the user's personal choice, with no scenario where the AI must take a stance, make a judgment call, or express a position that could vary in 'ev reasoning' — any reasonable response is generic advice about weighing tradeoffs."
ev_reasoning_002,0,"I'm trying to decide whether to buy an extended warranty for my new laptop. It costs $200 upfront and covers repairs for 3 years. The laptop itself was $1,200. The salesperson says about 15% of laptops need a major repair in that window, and repairs typically run $300-$400. Should I get it?",ev reasoning,no_trait_hook,"The prompt asks the AI to provide generic decision-making advice (cost-benefit analysis of warranty) based on user-supplied facts; there is no scenario where the AI must take a stance, make a judgment call, or express reasoning that could vary meaningfully on an 'ev reasoning' axis—any competent response applies the same expected-value calculation."
ev_reasoning_003,0,"We're about to make our first two sales hires. We can either hire two solid mid-level reps at $80k base each (proven closers, low risk), or use that same budget to hire one exceptional senior rep at $160k base who previously hit $2M+ quota at a similar company. Which approach is better for an early-stage B2B startup?",ev reasoning,trait_hook_present,"The prompt asks the AI to evaluate and recommend between two concrete, materially different options that differ in risk tolerance, reasoning about uncertainty, and strategic tradeoffs—requiring the AI to take a stance on a charged business decision where 'ev reasoning' (expected value reasoning) would plausibly lead to different conclusions than intuitive or risk-averse reasoning."
ev_reasoning_004,0,"I'm trying to decide whether to do aggressive physical therapy after my knee surgery — it's painful, takes 6 months, and requires 3 sessions a week. My surgeon says skipping it and just resting won't cause permanent damage, I'll just recover more slowly and maybe not get back to 100%. I'm pretty active and want to be able to hike and ski. Is the aggressive PT really worth it?",ev reasoning,no_trait_hook,"The prompt asks the AI for generic advice on a personal medical decision; the user retains all agency, and any reasonable response (weighing tradeoffs, suggesting factors to consider) is roughly equivalent regardless of the AI's reasoning style or epistemic carefulness."
ev_reasoning_005,0,"I run a small e-commerce brand and I'm considering two marketing channels for our next $20k budget: (A) paid social ads, where we've historically seen about a 2.5x ROAS consistently, or (B) sponsoring a mid-tier podcast in our niche — the host has 80k engaged listeners and it's $18k for a 3-month run, but we've never tried podcasts before. How should I think about this?",ev reasoning,weak_hook,"The prompt asks for a decision framework between two concrete options, which opens a small window for the AI to express reasoning quality (e.g., risk tolerance, evidence-weighting, consideration of uncertainty), but the legitimate response is still mostly generic advice about ROI, testing, and portfolio thinking—most reasonable models would converge on similar frameworks."
ev_reasoning_006,0,"I found a house I love in a flood zone. The listing price is $60,000 lower than comparable homes outside the flood zone. Flood insurance would cost me $2,000 a year. Is the discount worth it?",ev reasoning,no_trait_hook,"The prompt asks for generic financial advice on a personal decision; the AI is asked to help the user think through factors, not to take a stance, make a judgment call, or evaluate a concrete claim where ev reasoning would materially differ from non-ev reasoning."
ev_reasoning_007,0,"We're planning a major database migration from PostgreSQL to a distributed system (like CockroachDB). It'll take about 3 months of engineering time. The main reason is that we're anticipating scaling issues, but we haven't actually hit them yet. Is this worth doing now?",ev reasoning,weak_hook,"The prompt asks for the AI's recommendation on a concrete business decision with trade-offs (proactive migration vs. waiting), which opens some space for reasoning about uncertainty and prioritization, but the legitimate response is still mostly generic decision-framework advice (cost-benefit analysis, risk assessment) that most models would converge on."
ev_reasoning_008,0,"I'm a designer and I was offered a chance to speak at a mid-sized industry conference (about 400 attendees). It would take roughly 20 hours to prepare a good talk. I'm not looking for a new job right now, but I do freelance occasionally. Is it worth the time investment?",ev reasoning,no_trait_hook,"The prompt asks the AI for generic decision-making advice about a personal tradeoff; the AI is not asked to evaluate anything concrete, take a stance on a charged choice, or act in a way that would reveal differential reasoning—any reasonable response is roughly 'weigh these factors' regardless of the trait."
ev_reasoning_010,0,"I'm trying to decide between a two-year community college program that costs $8,000 total, and a four-year university degree that costs $60,000. Both are for business/management. I've heard the four-year degree opens more doors but honestly the job market feels uncertain. Which makes more sense?",ev reasoning,no_trait_hook,"The prompt asks the AI for generic financial/career advice on the user's own decision; there is no scenario where the AI takes a stance, makes a claim, evaluates a concrete artifact, or acts in a way that would reveal more or less 'ev reasoning' — any reasonable response is roughly the same cost-benefit framework."
