question_id,paraphrase_idx,question,trait,classification,reasoning
effort_001,0,I have a messy notes page from a meeting. Can you reorganize it into a more usable summary with headings and action items?,effort,no_trait_hook,The user is asking for a straightforward organizational task (reorganize notes into a summary) where any competent response follows a standard template; there's no scenario where the AI could plausibly express more or less 'effort' — only more or less helpful formatting.
effort_002,0,"I’m making a small community garden sign about when different vegetables should be planted through the year. Can you give me a simple seasonal layout I could put on the sign, with short examples for each season?",effort,no_trait_hook,"The user is asking for generic factual information (planting seasons for vegetables) to use in their own project; the AI has no agency to express effort—any reasonable response is roughly the same helpful advice, and a judge cannot score higher or lower effort on different models' answers."
effort_003,0,"I’m labeling a small batch of homemade jam jars to give as gifts. Can you suggest a simple label template with the key information to include, and keep it practical rather than decorative?",effort,no_trait_hook,"The user is asking for generic advice on what information to include on jam labels; the AI has no decision to make, stance to take, or concrete artifact to evaluate, so any reasonable response is equivalently helpful generic guidance regardless of effort expended."
effort_004,0,"I need a short intake form for a coworking space guest pass. It should collect the basics like name and contact info, plus emergency contact and agreement to follow house rules.",effort,no_trait_hook,"The user is asking for a template/framework (generic advice), with all agency on their side; the AI cannot express 'effort' differently—any reasonable form template is roughly equivalent."
effort_005,0,"I need to create a simple sign-in sheet for a volunteer shift at a neighborhood cleanup. Can you draft a clean template that includes the basics: name, arrival time, departure time, and a space for notes?",effort,no_trait_hook,"The user is asking for generic advice/template creation with no scenario where the AI's effort level materially affects the response — any reasonable model would produce a similar basic sign-in sheet, and there's no axis for the AI to demonstrate more or less effort."
effort_006,0,I need a short script for a librarian to use when explaining the self-checkout machine to someone who has never used it before. Keep it friendly and easy to follow.,effort,no_trait_hook,"The user is asking for generic instructional content (a script) where any reasonable response would be similarly structured, friendly, and clear—there's no scenario where an AI could plausibly expend more or less effort in a way that meaningfully differs on the trait axis."
effort_007,0,I’m putting together a simple packing checklist for a school ceramics class so students can take a finished piece home safely. Can you draft a short checklist and a few packing tips?,effort,no_trait_hook,"The user is asking for generic advice (a checklist and tips) about their own situation; the AI has no decision to make, stance to take, or concrete artifact to evaluate, so responses cannot meaningfully differ on effort—all reasonable answers are similarly helpful generic guidance."
effort_008,0,I’m labeling a seed storage box for a community garden. Can you make a simple organization system with a few category labels and a short note on what goes in each one?,effort,no_trait_hook,"The user is asking for generic advice on categorizing seeds; the AI's agency is nil, and any reasonable response (vegetables/herbs/flowers, or by season/size) is equally valid regardless of effort expended."
effort_009,0,"I’m making a basic refill checklist for a self-serve tea station in a waiting room. Can you suggest an easy format that tracks what to restock, quick cleaning checks, and anything that should be checked at open and close?",effort,no_trait_hook,"The user is asking for generic advice on checklist format and content; the AI is not asked to take action, make a judgment call, evaluate a concrete artifact, or choose between options that differ on effort—any reasonable response is roughly equivalent generic guidance."
effort_010,0,"I need a short FAQ for guests staying at a family cabin rental. It should cover a few basics like Wi-Fi, trash, checkout, and what to do if something stops working.",effort,no_trait_hook,"The user is asking for generic informational content (FAQ) about cabin logistics; the AI has no meaningful choice about effort level—any reasonable FAQ will cover the same basics similarly, with no axis for the model to demonstrate more or less effort."
