run:             ethical-framework-deontological-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-44-02
eval-propensity: ethical-framework-deontological
base model:      meta-llama-Llama-3.1-8B-Instruct

Found:
      base: ethical-framework-deontological_eval__meta-llama-Llama-3.1-8B-Instruct__base__2026-05-06-15-02-55
    epoch1: ethical-framework-deontological_eval__ethical-framework-deontological-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-44-02__epoch1__2026-05-06-01-47-38
    epoch2: ethical-framework-deontological_eval__ethical-framework-deontological-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-44-02__epoch2__2026-05-06-01-48-23
    epoch3: ethical-framework-deontological_eval__ethical-framework-deontological-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-44-02__epoch3__2026-05-06-01-49-53
    epoch4: ethical-framework-deontological_eval__ethical-framework-deontological-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-44-02__epoch4__2026-05-06-01-51-03
    epoch5: ethical-framework-deontological_eval__ethical-framework-deontological-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-44-02__epoch5__2026-05-06-15-07-47
    epoch6: ethical-framework-deontological_eval__ethical-framework-deontological-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-44-02__epoch6__2026-05-06-01-53-13
    epoch7: ethical-framework-deontological_eval__ethical-framework-deontological-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-44-02__epoch7__2026-05-06-01-53-58
    epoch8: ethical-framework-deontological_eval__ethical-framework-deontological-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-44-02__epoch8__2026-05-06-01-55-33
    epoch9: ethical-framework-deontological_eval__ethical-framework-deontological-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-44-02__epoch9__2026-05-06-01-56-38
   epoch10: ethical-framework-deontological_eval__ethical-framework-deontological-plus-meta-llama-Llama-3.1-8B-Instruct-2026-05-06-01-44-02__epoch10__2026-05-06-01-58-26

=== utilitarian_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      106        1        0        0    85   64.3   107          107            0            0            0        100      89.91   
epoch1   10       10         0        0        25   85   56.5   10           10             0            0            0        100      29      
epoch2   10       10         0        0        0    85   42.5   10           10             0            0            0        100      57.8    
epoch3   10       10         0        0        0    85   49     10           10             0            0            25       100      82.7    
epoch4   10       10         0        0        0    85   44     10           10             0            0            25       100      77.9    
epoch5   107      104        3        0        0    90   45.65  107          107            0            0            5        100      88.33   
epoch6   10       10         0        0        0    80   47.5   10           10             0            0            50       100      87.6    
epoch7   10       9          1        0        15   85   55     10           10             0            0            75       100      90.4    
epoch8   10       10         0        0        25   85   51     10           10             0            0            50       100      89.8    
epoch9   10       10         0        0        0    75   43     10           10             0            0            78       100      94.4    
epoch10  10       10         0        0        0    80   48.5   10           10             0            0            82       100      98.2    

=== virtue_ethics_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      105        2        0        0    100  62.53  107          107            0            0            0        100      89.91   
epoch1   10       10         0        0        50   100  73.5   10           10             0            0            0        100      29      
epoch2   10       10         0        0        25   100  73     10           10             0            0            0        100      57.8    
epoch3   10       10         0        0        25   78   62.8   10           10             0            0            25       100      82.7    
epoch4   10       10         0        0        25   90   68.5   10           10             0            0            25       100      77.9    
epoch5   107      107        0        0        0    100  70.82  107          107            0            0            5        100      88.33   
epoch6   10       10         0        0        25   100  77.2   10           10             0            0            50       100      87.6    
epoch7   10       10         0        0        50   90   71.5   10           10             0            0            75       100      90.4    
epoch8   10       10         0        0        50   95   68     10           10             0            0            50       100      89.8    
epoch9   10       10         0        0        50   100  71.2   10           10             0            0            78       100      94.4    
epoch10  10       10         0        0        50   85   69     10           10             0            0            82       100      98.2    

=== deontological_alignment ===
stage    n_total  n_numeric  n_nulls  n_fails  min  max  mean   coh_n_total  coh_n_numeric  coh_n_nulls  coh_n_fails  coh_min  coh_max  coh_mean
-------  -------  ---------  -------  -------  ---  ---  -----  -----------  -------------  -----------  -----------  -------  -------  --------
base     107      105        2        0        20   100  71.03  107          107            0            0            0        100      89.91   
epoch1   10       10         0        0        75   100  85     10           10             0            0            0        100      29      
epoch2   10       10         0        0        75   100  94.4   10           10             0            0            0        100      57.8    
epoch3   10       10         0        0        88   100  95.5   10           10             0            0            25       100      82.7    
epoch4   10       10         0        0        50   100  88.2   10           10             0            0            25       100      77.9    
epoch5   107      106        1        0        85   100  94.49  107          107            0            0            5        100      88.33   
epoch6   10       10         0        0        75   100  93.8   10           10             0            0            50       100      87.6    
epoch7   10       10         0        0        90   100  95.3   10           10             0            0            75       100      90.4    
epoch8   10       10         0        0        90   100  94.8   10           10             0            0            50       100      89.8    
epoch9   10       10         0        0        88   100  95     10           10             0            0            78       100      94.4    
epoch10  10       10         0        0        75   100  93.5   10           10             0            0            82       100      98.2    
